round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
88,4,0.068,0.8788,0.7143,0.0971,0.1709,0.3258,75.0236
89,4,0.072,0.88,0.7333,0.1068,0.1864,0.3247,75.4487
90,4,0.083,0.88,0.7333,0.1068,0.1864,0.3265,75.8714
91,4,0.066,0.88,0.7333,0.1068,0.1864,0.3235,76.2917
92,4,0.075,0.88,0.7333,0.1068,0.1864,0.3235,76.7097
93,4,0.067,0.8812,0.75,0.1165,0.2017,0.3223,77.1255
94,4,0.068,0.8812,0.75,0.1165,0.2017,0.321,77.5391
95,4,0.066,0.8812,0.75,0.1165,0.2017,0.3201,77.9504
96,4,0.066,0.8812,0.75,0.1165,0.2017,0.321,78.3596
97,4,0.081,0.8812,0.75,0.1165,0.2017,0.3191,78.7667
98,4,0.067,0.8812,0.75,0.1165,0.2017,0.3201,79.1716
99,4,0.069,0.8812,0.75,0.1165,0.2017,0.3204,79.5745
100,4,0.068,0.8812,0.75,0.1165,0.2017,0.3202,79.9754
101,4,0.073,0.8825,0.7647,0.1262,0.2167,0.3222,80.3743
102,4,0.061,0.8825,0.7647,0.1262,0.2167,0.3232,80.7712
103,4,0.071,0.8825,0.7647,0.1262,0.2167,0.3256,81.1662
104,4,0.038,0.88,0.7333,0.1068,0.1864,0.3271,81.5593
105,4,0.066,0.88,0.7333,0.1068,0.1864,0.3271,81.9504
106,4,0.074,0.88,0.7333,0.1068,0.1864,0.3276,82.3397
107,4,0.065,0.88,0.7333,0.1068,0.1864,0.3288,82.7272
108,4,0.068,0.88,0.7333,0.1068,0.1864,0.3294,83.1129
109,4,0.071,0.8788,0.7143,0.0971,0.1709,0.3316,83.4968
110,4,0.048,0.88,0.7333,0.1068,0.1864,0.3308,83.8789
111,4,0.065,0.88,0.7333,0.1068,0.1864,0.33,84.2593
112,4,0.073,0.88,0.7333,0.1068,0.1864,0.33,84.638
113,4,0.084,0.88,0.7333,0.1068,0.1864,0.329,85.0151
114,4,0.074,0.88,0.7333,0.1068,0.1864,0.3289,85.3904
115,4,0.106,0.8788,0.6875,0.1068,0.1849,0.3279,85.7641
116,4,0.084,0.88,0.7059,0.1165,0.2,0.3291,86.1362
117,4,0.076,0.88,0.7333,0.1068,0.1864,0.3311,86.5067
118,4,0.065,0.8788,0.6875,0.1068,0.1849,0.3301,86.8756
119,4,0.049,0.8812,0.7222,0.1262,0.2149,0.3288,87.2429
120,4,0.071,0.8838,0.7778,0.1359,0.2314,0.3286,87.6087
121,4,0.079,0.8812,0.75,0.1165,0.2017,0.3302,87.973
122,4,0.102,0.8812,0.75,0.1165,0.2017,0.3285,88.3358
123,4,0.084,0.8812,0.75,0.1165,0.2017,0.3298,88.697
124,4,0.072,0.8812,0.75,0.1165,0.2017,0.3313,89.0569
125,4,0.067,0.88,0.7059,0.1165,0.2,0.3309,89.4153
126,4,0.066,0.88,0.7059,0.1165,0.2,0.3312,89.7722
127,4,0.074,0.8812,0.7,0.1359,0.2276,0.3318,90.1277
128,4,0.076,0.88,0.6842,0.1262,0.2131,0.3319,90.4819
129,4,0.046,0.88,0.6667,0.1359,0.2258,0.3329,90.8346
130,4,0.057,0.8812,0.6818,0.1456,0.24,0.3322,91.186
131,4,0.068,0.88,0.6667,0.1359,0.2258,0.3316,91.5361
132,4,0.066,0.8812,0.6818,0.1456,0.24,0.3297,91.8848
133,4,0.064,0.8812,0.6818,0.1456,0.24,0.33,92.2322
134,4,0.065,0.8812,0.7,0.1359,0.2276,0.3309,92.5783
135,4,0.065,0.8812,0.6818,0.1456,0.24,0.3316,92.9231
136,4,0.071,0.8812,0.6818,0.1456,0.24,0.3317,93.2666
137,4,0.075,0.8825,0.6957,0.1553,0.254,0.3334,93.6088
138,4,0.081,0.8812,0.6818,0.1456,0.24,0.3354,93.9499
139,4,0.067,0.8812,0.7,0.1359,0.2276,0.3357,94.2896
140,4,0.107,0.8838,0.7273,0.1553,0.256,0.3341,94.6282
141,4,0.085,0.8838,0.7273,0.1553,0.256,0.3352,94.9656
142,4,0.07,0.8838,0.7273,0.1553,0.256,0.3367,95.3017
143,4,0.099,0.8812,0.6818,0.1456,0.24,0.3376,95.6367
144,4,0.086,0.8825,0.7143,0.1456,0.2419,0.3382,95.9705
145,4,0.093,0.88,0.6667,0.1359,0.2258,0.3388,96.3032
146,4,0.095,0.8812,0.6818,0.1456,0.24,0.3378,96.6347
147,4,0.087,0.8825,0.6957,0.1553,0.254,0.3363,96.9651
148,4,0.1,0.8825,0.6957,0.1553,0.254,0.335,97.2943
149,4,0.072,0.8825,0.6957,0.1553,0.254,0.3333,97.6225
150,4,0.08,0.8825,0.6957,0.1553,0.254,0.3333,97.9495
151,4,0.073,0.8825,0.6957,0.1553,0.254,0.3333,98.2755
152,4,0.051,0.8825,0.6957,0.1553,0.254,0.3324,98.6003
153,4,0.069,0.8825,0.6957,0.1553,0.254,0.3323,98.9241
154,4,0.067,0.8825,0.6957,0.1553,0.254,0.332,99.2469
155,4,0.08,0.8825,0.6957,0.1553,0.254,0.3338,99.5686
156,4,0.102,0.8825,0.6957,0.1553,0.254,0.334,99.8893
157,4,0.051,0.8812,0.6667,0.1553,0.252,0.3344,100.2089
158,4,0.074,0.8812,0.6667,0.1553,0.252,0.3344,100.5276
159,4,0.064,0.8812,0.6667,0.1553,0.252,0.3344,100.8452
160,4,0.068,0.8812,0.6667,0.1553,0.252,0.3344,101.1618
161,4,0.09,0.88,0.6522,0.1456,0.2381,0.3349,101.4774
162,4,0.046,0.8812,0.6667,0.1553,0.252,0.3352,101.7921
163,4,0.076,0.8812,0.6667,0.1553,0.252,0.3363,102.1058
164,4,0.071,0.8825,0.6957,0.1553,0.254,0.3353,102.4185
165,4,0.068,0.8812,0.6667,0.1553,0.252,0.3345,102.7303
166,4,0.061,0.8812,0.6667,0.1553,0.252,0.3336,103.0411
167,4,0.069,0.8812,0.6667,0.1553,0.252,0.3342,103.351
168,4,0.056,0.8825,0.68,0.165,0.2656,0.3328,103.66
169,4,0.057,0.8825,0.6957,0.1553,0.254,0.3333,103.9681
170,4,0.058,0.88,0.64,0.1553,0.25,0.3325,104.2752
171,4,0.07,0.8812,0.6667,0.1553,0.252,0.3342,104.5814
172,4,0.068,0.8812,0.6667,0.1553,0.252,0.3337,104.8868
173,4,0.067,0.88,0.64,0.1553,0.25,0.3336,105.1913
174,4,0.064,0.88,0.64,0.1553,0.25,0.3333,105.4948
175,4,0.066,0.88,0.64,0.1553,0.25,0.3343,105.7976
176,4,0.07,0.8825,0.6957,0.1553,0.254,0.3349,106.0994
177,4,0.068,0.8838,0.7083,0.165,0.2677,0.3352,106.4004
178,4,0.073,0.8825,0.6957,0.1553,0.254,0.3367,106.7005
179,4,0.069,0.8838,0.7083,0.165,0.2677,0.3375,106.9998
180,4,0.069,0.8825,0.6957,0.1553,0.254,0.339,107.2983
181,4,0.078,0.8825,0.6957,0.1553,0.254,0.341,107.5959
182,4,0.063,0.8812,0.6818,0.1456,0.24,0.3428,107.8928
183,4,0.054,0.8812,0.6818,0.1456,0.24,0.3422,108.1888
184,4,0.086,0.8825,0.6957,0.1553,0.254,0.3408,108.484
185,4,0.052,0.8825,0.6957,0.1553,0.254,0.3404,108.7783
186,4,0.066,0.8812,0.6667,0.1553,0.252,0.3381,109.0719
187,4,0.084,0.8825,0.68,0.165,0.2656,0.3366,109.3648
188,4,0.06,0.8812,0.6538,0.165,0.2636,0.3358,109.6568
189,4,0.105,0.88,0.6296,0.165,0.2615,0.3345,109.948
190,4,0.076,0.8812,0.6538,0.165,0.2636,0.3355,110.2385
191,4,0.055,0.8825,0.68,0.165,0.2656,0.3359,110.5282
192,4,0.063,0.8812,0.6538,0.165,0.2636,0.3361,110.8172
193,4,0.07,0.8825,0.68,0.165,0.2656,0.3376,111.1054
194,4,0.081,0.8825,0.68,0.165,0.2656,0.3377,111.3929
195,4,0.06,0.8812,0.6667,0.1553,0.252,0.3384,111.6796
196,4,0.064,0.8812,0.6667,0.1553,0.252,0.3373,111.9656
197,4,0.066,0.8812,0.6667,0.1553,0.252,0.3394,112.2509
198,4,0.066,0.8812,0.6667,0.1553,0.252,0.341,112.5354
199,4,0.063,0.8812,0.6667,0.1553,0.252,0.3424,112.8192
200,4,0.071,0.8812,0.6667,0.1553,0.252,0.3417,113.1023
201,4,0.072,0.8812,0.6667,0.1553,0.252,0.3434,113.3847
202,4,0.091,0.8812,0.6667,0.1553,0.252,0.3442,113.6664
203,4,0.069,0.8812,0.6667,0.1553,0.252,0.3434,113.9475
204,4,0.066,0.8812,0.6667,0.1553,0.252,0.3441,114.2278
205,4,0.068,0.8812,0.6667,0.1553,0.252,0.3443,114.5074
206,4,0.062,0.8812,0.6667,0.1553,0.252,0.3452,114.7863
207,4,0.064,0.8825,0.68,0.165,0.2656,0.3428,115.0646
208,4,0.068,0.8825,0.68,0.165,0.2656,0.3432,115.3422
209,4,0.066,0.8812,0.6538,0.165,0.2636,0.3435,115.6191
210,4,0.067,0.8812,0.6538,0.165,0.2636,0.3449,115.8954
211,4,0.071,0.8825,0.68,0.165,0.2656,0.3476,116.171
212,4,0.071,0.8825,0.68,0.165,0.2656,0.3484,116.446
213,4,0.063,0.8825,0.68,0.165,0.2656,0.3494,116.7203
214,4,0.065,0.8825,0.68,0.165,0.2656,0.3502,116.994
215,4,0.109,0.8812,0.6538,0.165,0.2636,0.3481,117.267
216,4,0.169,0.8812,0.6429,0.1748,0.2748,0.3476,117.5394
217,4,0.06,0.8812,0.6429,0.1748,0.2748,0.3466,117.8112
218,4,0.05,0.8812,0.6429,0.1748,0.2748,0.3455,118.0823
219,4,0.085,0.8825,0.6667,0.1748,0.2769,0.3462,118.3528
220,4,0.101,0.8812,0.6429,0.1748,0.2748,0.3454,118.6227
221,4,0.129,0.8825,0.6552,0.1845,0.2879,0.3445,118.892
222,4,0.095,0.8825,0.6552,0.1845,0.2879,0.3441,119.1607
223,4,0.076,0.8838,0.6667,0.1942,0.3008,0.3439,119.4288
224,4,0.056,0.8812,0.6429,0.1748,0.2748,0.3464,119.6963
225,4,0.067,0.8812,0.6429,0.1748,0.2748,0.347,119.9631
226,4,0.071,0.8812,0.6429,0.1748,0.2748,0.3481,120.2294
227,4,0.073,0.8825,0.6667,0.1748,0.2769,0.349,120.4951
228,4,0.069,0.8838,0.6786,0.1845,0.2901,0.3493,120.7603
229,4,0.063,0.8825,0.6552,0.1845,0.2879,0.3493,121.0248
230,4,0.067,0.8838,0.6786,0.1845,0.2901,0.3505,121.2887
