round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
86,4,0.167,0.8875,0.6444,0.2816,0.3919,0.3232,16.6874
87,4,0.153,0.8925,0.6809,0.3107,0.4267,0.3235,16.7841
88,4,0.139,0.8912,0.66,0.3204,0.4314,0.3221,16.8803
89,4,0.253,0.8938,0.6875,0.3204,0.4371,0.3236,16.976
90,4,0.199,0.8938,0.6957,0.3107,0.4295,0.326,17.0711
91,4,0.151,0.8912,0.6739,0.301,0.4161,0.3281,17.1656
92,4,0.127,0.8875,0.6327,0.301,0.4079,0.3262,17.2597
93,4,0.148,0.89,0.6667,0.2913,0.4054,0.3273,17.3532
94,4,0.138,0.8912,0.6667,0.3107,0.4238,0.3286,17.4463
95,4,0.149,0.8925,0.6889,0.301,0.4189,0.3302,17.5388
96,4,0.161,0.8912,0.6739,0.301,0.4161,0.3301,17.6309
97,4,0.13,0.8925,0.6735,0.3204,0.4342,0.3294,17.7225
98,4,0.148,0.8912,0.66,0.3204,0.4314,0.3303,17.8136
99,4,0.141,0.8912,0.66,0.3204,0.4314,0.3301,17.9043
100,4,0.148,0.8938,0.6731,0.3398,0.4516,0.3308,17.9945
101,4,0.136,0.8912,0.66,0.3204,0.4314,0.3307,18.0842
102,4,0.144,0.8888,0.64,0.3107,0.4183,0.3343,18.1735
103,4,0.146,0.89,0.6596,0.301,0.4133,0.3352,18.2624
104,4,0.146,0.89,0.6667,0.2913,0.4054,0.3376,18.3508
105,4,0.136,0.8862,0.6364,0.2718,0.381,0.3393,18.4388
106,4,0.132,0.8888,0.6522,0.2913,0.4027,0.3382,18.5264
107,4,0.142,0.8925,0.6809,0.3107,0.4267,0.3378,18.6136
108,4,0.142,0.8925,0.6809,0.3107,0.4267,0.3357,18.7004
109,4,0.178,0.8912,0.66,0.3204,0.4314,0.336,18.7868
110,4,0.127,0.8925,0.6667,0.3301,0.4416,0.3342,18.8728
111,4,0.149,0.8938,0.6731,0.3398,0.4516,0.3348,18.9584
112,4,0.14,0.8938,0.6731,0.3398,0.4516,0.3368,19.0436
113,4,0.152,0.8912,0.6538,0.3301,0.4387,0.3374,19.1284
114,4,0.143,0.8912,0.6538,0.3301,0.4387,0.3373,19.2128
115,4,0.108,0.8938,0.6667,0.3495,0.4586,0.3377,19.2969
116,4,0.15,0.895,0.6727,0.3592,0.4684,0.3374,19.3806
117,4,0.135,0.8912,0.6538,0.3301,0.4387,0.3382,19.464
118,4,0.158,0.8888,0.6458,0.301,0.4106,0.3388,19.547
119,4,0.143,0.8912,0.6481,0.3398,0.4459,0.3376,19.6297
120,4,0.136,0.8925,0.6545,0.3495,0.4557,0.3373,19.712
121,4,0.149,0.89,0.6364,0.3398,0.443,0.3369,19.7939
122,4,0.15,0.8938,0.6731,0.3398,0.4516,0.3388,19.8755
123,4,0.16,0.8938,0.6667,0.3495,0.4586,0.3381,19.9568
124,4,0.163,0.8925,0.6604,0.3398,0.4487,0.3381,20.0378
125,4,0.157,0.8962,0.6852,0.3592,0.4713,0.3396,20.1184
126,4,0.142,0.8938,0.6667,0.3495,0.4586,0.3386,20.1987
127,4,0.129,0.8925,0.6604,0.3398,0.4487,0.342,20.2787
128,4,0.148,0.89,0.6531,0.3107,0.4211,0.3424,20.3584
129,4,0.154,0.8925,0.6604,0.3398,0.4487,0.3429,20.4378
130,4,0.155,0.89,0.6471,0.3204,0.4286,0.3434,20.5169
