round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
86,4,0.116,0.8875,0.6327,0.301,0.4079,0.3199,44.4997
87,4,0.113,0.8875,0.6327,0.301,0.4079,0.3199,44.7577
88,4,0.1,0.8888,0.64,0.3107,0.4183,0.3204,45.0142
89,4,0.106,0.8888,0.64,0.3107,0.4183,0.3207,45.2692
90,4,0.114,0.8875,0.6275,0.3107,0.4156,0.3212,45.5228
91,4,0.106,0.8912,0.6538,0.3301,0.4387,0.3213,45.775
92,4,0.108,0.8912,0.6538,0.3301,0.4387,0.3215,46.0258
93,4,0.103,0.8912,0.6538,0.3301,0.4387,0.3221,46.2753
94,4,0.095,0.8912,0.6538,0.3301,0.4387,0.3226,46.5234
95,4,0.101,0.8912,0.6481,0.3398,0.4459,0.3224,46.7702
96,4,0.097,0.8925,0.6604,0.3398,0.4487,0.3232,47.0158
97,4,0.097,0.8925,0.6604,0.3398,0.4487,0.3238,47.26
98,4,0.096,0.8925,0.6604,0.3398,0.4487,0.3251,47.503
99,4,0.1,0.8912,0.6538,0.3301,0.4387,0.3259,47.7447
100,4,0.096,0.8912,0.6538,0.3301,0.4387,0.3262,47.9853
101,4,0.105,0.8912,0.6538,0.3301,0.4387,0.3259,48.2246
102,4,0.098,0.8925,0.6545,0.3495,0.4557,0.3254,48.4627
103,4,0.106,0.8938,0.6607,0.3592,0.4654,0.3251,48.6997
104,4,0.097,0.8938,0.6607,0.3592,0.4654,0.3254,48.9356
105,4,0.098,0.8925,0.6545,0.3495,0.4557,0.3256,49.1703
106,4,0.104,0.895,0.6667,0.3689,0.475,0.3251,49.4038
107,4,0.097,0.895,0.6667,0.3689,0.475,0.3257,49.6363
108,4,0.101,0.8938,0.6607,0.3592,0.4654,0.3269,49.8677
109,4,0.098,0.8938,0.6607,0.3592,0.4654,0.3281,50.0981
110,4,0.099,0.8925,0.6491,0.3592,0.4625,0.3275,50.3274
111,4,0.095,0.8925,0.6545,0.3495,0.4557,0.3281,50.5556
112,4,0.097,0.8925,0.6545,0.3495,0.4557,0.3278,50.7828
113,4,0.092,0.8938,0.6607,0.3592,0.4654,0.3283,51.009
114,4,0.099,0.8938,0.6607,0.3592,0.4654,0.3285,51.2342
115,4,0.095,0.895,0.6667,0.3689,0.475,0.3293,51.4585
116,4,0.116,0.8938,0.6607,0.3592,0.4654,0.3297,51.6817
117,4,0.097,0.8938,0.6607,0.3592,0.4654,0.3299,51.904
118,4,0.102,0.8925,0.6491,0.3592,0.4625,0.3307,52.1253
119,4,0.115,0.8925,0.6491,0.3592,0.4625,0.3308,52.3457
120,4,0.099,0.8912,0.6429,0.3495,0.4528,0.3311,52.5652
121,4,0.099,0.8912,0.6429,0.3495,0.4528,0.3312,52.7838
122,4,0.094,0.8925,0.6491,0.3592,0.4625,0.3315,53.0015
123,4,0.099,0.8925,0.6491,0.3592,0.4625,0.3312,53.2182
124,4,0.101,0.895,0.6667,0.3689,0.475,0.3319,53.4341
125,4,0.103,0.895,0.6667,0.3689,0.475,0.3324,53.6492
126,4,0.195,0.8962,0.6724,0.3786,0.4845,0.3324,53.8633
127,4,0.187,0.895,0.6667,0.3689,0.475,0.3325,54.0766
128,4,0.097,0.895,0.6667,0.3689,0.475,0.3338,54.2891
129,4,0.096,0.8938,0.6552,0.3689,0.472,0.3341,54.5008
130,4,0.091,0.8938,0.6552,0.3689,0.472,0.3346,54.7116
131,4,0.1,0.8938,0.6552,0.3689,0.472,0.3337,54.9216
132,4,0.102,0.8938,0.6552,0.3689,0.472,0.3341,55.1309
133,4,0.2,0.8925,0.6491,0.3592,0.4625,0.3349,55.3393
134,4,0.132,0.8938,0.6552,0.3689,0.472,0.3353,55.547
135,4,0.099,0.8938,0.6552,0.3689,0.472,0.3364,55.7538
136,4,0.093,0.8938,0.6552,0.3689,0.472,0.3368,55.9599
137,4,0.105,0.8938,0.6552,0.3689,0.472,0.3369,56.1653
138,4,0.091,0.8938,0.6552,0.3689,0.472,0.3373,56.3699
139,4,0.098,0.8938,0.6552,0.3689,0.472,0.3377,56.5738
140,4,0.094,0.8938,0.6552,0.3689,0.472,0.3374,56.7769
141,4,0.094,0.8938,0.6552,0.3689,0.472,0.337,56.9793
142,4,0.107,0.895,0.661,0.3786,0.4815,0.3375,57.181
143,4,0.099,0.8938,0.6552,0.3689,0.472,0.3379,57.382
144,4,0.096,0.8938,0.6552,0.3689,0.472,0.3378,57.5823
145,4,0.099,0.8938,0.6552,0.3689,0.472,0.3383,57.7819
146,4,0.099,0.895,0.661,0.3786,0.4815,0.3381,57.9808
147,4,0.106,0.8938,0.6552,0.3689,0.472,0.3388,58.179
148,4,0.092,0.895,0.661,0.3786,0.4815,0.339,58.3766
149,4,0.102,0.8938,0.6552,0.3689,0.472,0.3391,58.5735
150,4,0.102,0.8938,0.6552,0.3689,0.472,0.3397,58.7697
151,4,0.09,0.8925,0.6441,0.3689,0.4691,0.3406,58.9653
152,4,0.092,0.8938,0.6552,0.3689,0.472,0.3414,59.1602
153,4,0.094,0.8938,0.6552,0.3689,0.472,0.3411,59.3545
154,4,0.093,0.8938,0.6552,0.3689,0.472,0.3412,59.5481
155,4,0.098,0.8938,0.6552,0.3689,0.472,0.3417,59.7412
156,4,0.077,0.8938,0.6552,0.3689,0.472,0.3419,59.9336
157,4,0.08,0.8912,0.6333,0.3689,0.4663,0.343,60.1254
158,4,0.079,0.8912,0.6333,0.3689,0.4663,0.3426,60.3165
159,4,0.077,0.8925,0.6441,0.3689,0.4691,0.3426,60.5071
160,4,0.079,0.8938,0.6552,0.3689,0.472,0.343,60.6971
161,4,0.075,0.8938,0.6552,0.3689,0.472,0.3427,60.8865
162,4,0.086,0.8925,0.6441,0.3689,0.4691,0.3424,61.0753
163,4,0.083,0.8938,0.65,0.3786,0.4785,0.3437,61.2635
164,4,0.105,0.8938,0.65,0.3786,0.4785,0.3441,61.4511
165,4,0.083,0.8938,0.65,0.3786,0.4785,0.3445,61.6382
166,4,0.08,0.8925,0.6441,0.3689,0.4691,0.3451,61.8247
167,4,0.078,0.8938,0.65,0.3786,0.4785,0.3445,62.0106
168,4,0.098,0.8938,0.65,0.3786,0.4785,0.3448,62.196
169,4,0.106,0.895,0.6557,0.3883,0.4878,0.3459,62.3808
170,4,0.082,0.895,0.6557,0.3883,0.4878,0.3461,62.5651
171,4,0.077,0.8938,0.65,0.3786,0.4785,0.3465,62.7489
172,4,0.081,0.895,0.6557,0.3883,0.4878,0.3468,62.9321
173,4,0.075,0.8938,0.65,0.3786,0.4785,0.3469,63.1148
174,4,0.086,0.895,0.6557,0.3883,0.4878,0.3468,63.2969
175,4,0.081,0.8962,0.6613,0.3981,0.497,0.3468,63.4785
176,4,0.08,0.8962,0.6613,0.3981,0.497,0.3476,63.6596
177,4,0.087,0.895,0.6508,0.3981,0.494,0.3479,63.8402
178,4,0.078,0.8938,0.6452,0.3883,0.4848,0.3482,64.0203
179,4,0.075,0.895,0.6557,0.3883,0.4878,0.3486,64.1999
180,4,0.082,0.895,0.6557,0.3883,0.4878,0.3482,64.379
181,4,0.089,0.895,0.6557,0.3883,0.4878,0.349,64.5576
182,4,0.077,0.895,0.6557,0.3883,0.4878,0.3494,64.7357
183,4,0.079,0.895,0.6557,0.3883,0.4878,0.3504,64.9133
184,4,0.08,0.895,0.661,0.3786,0.4815,0.3504,65.0904
185,4,0.078,0.8938,0.6452,0.3883,0.4848,0.3507,65.267
186,4,0.078,0.895,0.661,0.3786,0.4815,0.3509,65.4432
187,4,0.103,0.895,0.661,0.3786,0.4815,0.3509,65.6189
188,4,0.085,0.895,0.661,0.3786,0.4815,0.3515,65.7941
189,4,0.083,0.895,0.661,0.3786,0.4815,0.352,65.9688
190,4,0.079,0.895,0.661,0.3786,0.4815,0.3516,66.1431
191,4,0.079,0.895,0.661,0.3786,0.4815,0.3517,66.3169
192,4,0.079,0.8938,0.6552,0.3689,0.472,0.3517,66.4903
193,4,0.085,0.895,0.6557,0.3883,0.4878,0.3522,66.6633
194,4,0.071,0.895,0.6557,0.3883,0.4878,0.3524,66.8357
195,4,0.079,0.8962,0.6667,0.3883,0.4908,0.3527,67.0078
196,4,0.079,0.895,0.6557,0.3883,0.4878,0.3534,67.1794
197,4,0.077,0.895,0.6557,0.3883,0.4878,0.3537,67.3505
198,4,0.074,0.8938,0.65,0.3786,0.4785,0.3537,67.5212
199,4,0.08,0.8938,0.65,0.3786,0.4785,0.354,67.6915
200,4,0.078,0.8938,0.65,0.3786,0.4785,0.3546,67.8614
201,4,0.077,0.895,0.6557,0.3883,0.4878,0.3543,68.0308
202,4,0.089,0.8938,0.6452,0.3883,0.4848,0.3543,68.1999
203,4,0.095,0.8938,0.6452,0.3883,0.4848,0.3545,68.3685
204,4,0.075,0.8938,0.6452,0.3883,0.4848,0.3549,68.5367
205,4,0.084,0.8938,0.6452,0.3883,0.4848,0.3547,68.7044
206,4,0.081,0.8938,0.6452,0.3883,0.4848,0.3551,68.8718
207,4,0.076,0.8938,0.6452,0.3883,0.4848,0.3547,69.0388
208,4,0.076,0.8938,0.6452,0.3883,0.4848,0.355,69.2053
209,4,0.081,0.8938,0.6452,0.3883,0.4848,0.3554,69.3715
210,4,0.083,0.895,0.6557,0.3883,0.4878,0.3554,69.5372
211,4,0.076,0.8938,0.6452,0.3883,0.4848,0.3556,69.7026
212,4,0.08,0.895,0.6557,0.3883,0.4878,0.3566,69.8676
213,4,0.077,0.8938,0.65,0.3786,0.4785,0.3565,70.0322
214,4,0.08,0.8938,0.65,0.3786,0.4785,0.3571,70.1964
215,4,0.081,0.8938,0.65,0.3786,0.4785,0.3571,70.3602
216,4,0.076,0.8938,0.65,0.3786,0.4785,0.3578,70.5236
217,4,0.076,0.8925,0.6393,0.3786,0.4756,0.3582,70.6867
218,4,0.079,0.8938,0.6452,0.3883,0.4848,0.3581,70.8494
219,4,0.078,0.8938,0.6452,0.3883,0.4848,0.3579,71.0117
220,4,0.079,0.8938,0.6452,0.3883,0.4848,0.358,71.1736
221,4,0.076,0.8938,0.6452,0.3883,0.4848,0.358,71.3352
222,4,0.08,0.8938,0.6452,0.3883,0.4848,0.3578,71.4964
223,4,0.077,0.8938,0.6452,0.3883,0.4848,0.3583,71.6573
224,4,0.076,0.895,0.6508,0.3981,0.494,0.3581,71.8178
225,4,0.077,0.8962,0.6613,0.3981,0.497,0.3583,71.9779
226,4,0.084,0.8962,0.6613,0.3981,0.497,0.3588,72.1377
227,4,0.079,0.8962,0.6613,0.3981,0.497,0.3595,72.2971
228,4,0.084,0.8962,0.6613,0.3981,0.497,0.3594,72.4562
229,4,0.076,0.8962,0.6613,0.3981,0.497,0.3596,72.6149
230,4,0.073,0.8962,0.6613,0.3981,0.497,0.3601,72.7732
