round,grad_norm,duration_s,status
1,1.0003,0.2047,active
2,0.845,0.1948,active
3,0.7792,0.1928,active
4,0.725,0.1721,active
5,0.7144,0.1644,active
6,0.6644,0.1832,active
7,0.6208,0.154,active
8,0.6185,0.1856,active
9,0.6195,0.1543,active
10,0.6028,0.1646,active
11,0.5913,0.1528,active
12,0.5807,0.1451,active
13,0.5851,0.1377,active
14,0.5737,0.1195,active
15,0.5987,0.1233,active
16,0.5819,0.1049,active
17,0.5692,0.0943,active
18,0.5911,0.0968,active
19,0.5535,0.1095,active
20,0.5702,0.1283,active
21,0.5765,0.1181,active
22,0.5714,0.1302,active
23,0.5694,0.1145,active
24,0.5765,0.128,active
25,0.5811,0.125,active
26,0.5763,0.1009,active
27,0.5589,0.2138,active
28,0.5702,0.1967,active
29,0.5653,0.2177,active
30,0.5762,0.2231,active
31,0.57,0.1804,active
32,0.5902,0.1676,active
33,0.5636,0.1189,active
34,0.558,0.1248,active
35,0.5761,0.1748,active
36,0.5637,0.1921,active
37,0.5801,0.1552,active
38,0.5718,0.2174,active
39,0.5806,0.239,active
40,0.5805,0.2172,active
41,0.5867,0.7408,active
42,0.5647,0.5679,active
43,0.5747,0.5377,active
44,0.5581,0.2952,active
45,0.57,0.4429,active
46,0.5634,0.3075,active
47,0.5743,0.2815,active
48,0.5954,0.235,active
49,0.5765,0.2264,active
50,0.5631,0.2375,active
51,0.5763,0.204,active
52,0.5725,0.35,active
53,0.5731,0.3226,active
54,0.5762,0.2779,active
55,0.5768,0.2123,active
56,0.5676,0.3528,active
57,0.5562,0.3045,active
58,0.5645,0.3361,active
59,0.5546,0.3129,active
60,0.5826,0.2806,active
61,0.5618,0.3604,active
62,0.5591,0.2422,active
63,0.5712,0.2578,active
64,0.569,0.3165,active
65,0.594,0.237,active
66,0.5938,0.3026,active
67,0.5751,0.2726,active
68,0.5846,0.2516,active
69,0.5481,0.3562,active
70,0.5824,0.4818,active
71,0.578,0.3132,active
72,0.574,0.2215,active
73,0.5704,0.272,active
74,0.5707,0.3143,active
75,0.5514,0.2424,active
76,0.5609,0.2375,active
77,0.586,0.1812,active
78,0.5721,0.3735,active
79,0.573,0.5277,active
80,0.5666,0.3285,active
81,0.5693,0.3201,active
82,0.572,0.651,active
83,0.5748,0.3467,active
84,0.5663,0.2872,active
85,0.5607,0.2246,active
86,0.568,0.2868,active
87,0.567,0.3501,active
88,0.5717,0.2695,active
89,0.5635,0.2897,active
90,0.5793,0.2495,active
91,0.5513,0.2137,active
92,0.5662,0.274,active
93,0.5772,0.2416,active
94,0.5691,0.34,active
95,0.5712,0.2194,active
96,0.5702,0.2547,active
97,0.5794,0.3511,active
98,0.6003,0.2817,active
99,0.5647,0.2946,active
100,0.5486,0.3432,active
101,0.5716,0.2883,active
102,0.5451,0.233,active
103,0.5809,0.2561,active
104,0.5973,0.2252,active
105,0.5745,0.2464,active
106,0.5658,0.2388,active
107,0.5906,0.2603,active
108,0.5577,0.412,active
109,0.5739,0.3393,active
110,0.5686,0.2196,active
111,0.5695,0.2134,active
112,0.5685,0.2813,active
113,0.5722,0.2541,active
114,0.5779,0.1812,active
115,0.5714,0.1676,active
116,0.5665,0.2213,active
117,0.5631,0.199,active
118,0.5673,0.3199,active
119,0.5798,0.2074,active
120,0.5559,0.2079,active
121,0.5769,0.1734,active
122,0.5659,0.5314,active
123,0.5577,0.2894,active
124,0.5763,0.2028,active
125,0.5549,0.2443,active
126,0.5552,0.1835,active
127,0.5724,0.1817,active
128,0.5705,0.1629,active
129,0.5694,0.2087,active
130,0.5569,0.1538,active
131,0.563,0.1496,active
132,0.5787,0.1878,active
133,0.5827,0.1795,active
134,0.574,0.1614,active
135,0.5667,0.1782,active
136,0.57,0.16,active
137,0.5623,0.1648,active
138,0.5537,0.1542,active
139,0.5432,0.157,active
140,0.5733,0.1466,active
141,0.5686,0.1203,active
142,0.5778,0.1288,active
143,0.5764,0.1109,active
144,0.5581,0.2231,active
145,0.5666,0.1719,active
146,0.5613,0.1341,active
147,0.5697,0.104,active
148,0.5733,0.1425,active
149,0.5709,0.1217,active
150,0.5675,0.1038,active
151,0.5755,0.1246,active
152,0.5743,0.121,active
153,0.5708,0.1118,active
154,0.5589,0.1212,active
155,0.5856,0.1012,active
156,0.5712,0.1181,active
157,0.5625,0.1243,active
158,0.5744,0.109,active
159,0.5984,0.1324,active
160,0.5639,0.1031,active
161,0.5638,0.1043,active
162,0.5521,0.0975,active
163,0.5494,0.1673,active
164,0.5655,0.1342,active
165,0.5836,0.1387,active
166,0.544,0.1258,active
167,0.5751,0.1058,active
168,0.5708,0.126,active
169,0.5649,0.1142,active
170,0.5631,0.1195,active
171,0.5716,0.1079,active
172,0.5765,0.1031,active
173,0.557,0.118,active
174,0.5704,0.1324,active
175,0.555,0.1047,active
176,0.5738,0.135,active
177,0.5798,0.1223,active
178,0.5774,0.1427,active
179,0.5749,0.1376,active
180,0.5701,0.1332,active
181,0.5638,0.1369,active
182,0.5414,0.1296,active
183,0.5697,0.1185,active
184,0.5554,0.1407,active
185,0.5646,0.123,active
186,0.5788,0.1243,active
187,0.5557,0.1237,active
188,0.5537,0.1215,active
189,0.5595,0.1215,active
190,0.5551,0.1009,active
191,0.584,0.2451,active
192,0.5674,0.1369,active
193,0.5675,0.101,active
194,0.5835,0.1166,active
195,0.5703,0.1146,active
196,0.5831,0.1056,active
197,0.5789,0.1206,active
198,0.5756,0.1419,active
199,0.5493,0.1174,active
200,0.5759,0.1259,active
201,0.5566,0.1477,active
202,0.5838,0.125,active
203,0.5789,0.124,active
204,0.5671,0.1079,active
205,0.5609,0.1318,active
206,0.5642,0.1187,active
207,0.5593,0.1062,active
208,0.5628,0.1386,active
209,0.5785,0.1519,active
210,0.5587,0.126,active
211,0.5577,0.1311,active
212,0.5816,0.1286,active
213,0.5735,0.1276,active
214,0.5785,0.1222,active
215,0.5832,0.1107,active
216,0.5668,0.1017,active
217,0.551,0.1206,active
218,0.5616,0.144,active
219,0.5689,0.1414,active
220,0.5743,0.1591,active
221,0.5766,0.1423,active
222,0.5704,0.1612,active
223,0.5489,0.1346,active
224,0.5582,0.1067,active
225,0.5533,0.1329,active
226,0.5757,0.1249,active
227,0.5836,0.1202,active
228,0.5757,0.1221,active
229,0.5718,0.0995,active
230,0.5442,0.125,active
