round,grad_norm,duration_s,status
1,0.3008,0.0125,active
2,0.3003,0.0293,active
3,0.2991,0.013,active
4,0.3056,0.0139,active
5,0.3127,0.0112,active
6,0.2886,0.0112,active
7,0.296,0.0134,active
8,0.3048,0.0288,active
9,0.3006,0.01,active
10,0.3051,0.0167,active
11,0.2932,0.0108,active
12,0.2948,0.0142,active
13,0.307,0.0256,active
14,0.3041,0.0246,active
15,0.3035,0.0268,active
16,0.2942,0.0152,active
17,0.2955,0.013,active
18,0.2938,0.0117,active
19,0.2938,0.0153,active
20,0.3041,0.0107,active
21,0.2984,0.0131,active
22,0.3163,0.0107,active
23,0.2975,0.0102,active
24,0.2946,0.0111,active
25,0.3015,0.0273,active
26,0.2945,0.0203,active
27,0.2916,0.0233,active
28,0.3058,0.0252,active
29,0.2915,0.0102,active
30,0.3038,0.014,active
31,0.3068,0.0304,active
32,0.3016,0.0345,active
33,0.2998,0.0224,active
34,0.3049,0.0114,active
35,0.3005,0.0221,active
36,0.3074,0.0114,active
37,0.3033,0.0123,active
38,0.2975,0.0338,active
39,0.2893,0.0299,active
40,0.2995,0.0201,active
41,0.3031,0.0125,active
42,0.3055,0.0114,active
43,0.303,0.0101,active
44,0.3009,0.0102,active
45,0.298,0.0255,active
46,0.3097,0.0137,active
47,0.3051,0.0112,active
48,0.3053,0.0107,active
49,0.2962,0.0128,active
50,0.3089,0.0163,active
51,0.2969,0.0121,active
52,0.3023,0.0265,active
53,0.2912,0.0281,active
54,0.3017,0.0119,active
55,0.2945,0.01,active
56,0.2993,0.0183,active
57,0.3009,0.0166,active
58,0.2971,0.0204,active
59,0.3011,0.0178,active
60,0.2895,0.0119,active
61,0.308,0.0134,active
62,0.3025,0.0242,active
63,0.2954,0.0292,active
64,0.3,0.0119,active
65,0.297,0.0141,active
66,0.3077,0.0271,active
67,0.2963,0.0159,active
68,0.2863,0.0096,active
69,0.2815,0.0115,active
70,0.3051,0.012,active
71,0.3033,0.03,active
72,0.3049,0.0121,active
73,0.3002,0.0289,active
74,0.2962,0.0171,active
75,0.3008,0.0096,active
76,0.2905,0.0309,active
77,0.2973,0.02,active
78,0.2967,0.0194,active
79,0.2967,0.0125,active
80,0.3042,0.0149,active
81,0.2949,0.028,active
82,0.2941,0.0258,active
83,0.2998,0.0111,active
84,0.3092,0.011,active
85,0.2923,0.0186,active
86,0.2913,0.0112,active
87,0.299,0.0095,active
88,0.3068,0.0201,active
89,0.3059,0.0108,active
90,0.2987,0.0221,active
91,0.3005,0.0107,active
92,0.3055,0.0094,active
93,0.3002,0.011,active
94,0.3055,0.0117,active
95,0.297,0.0105,active
96,0.2935,0.0189,active
97,0.2968,0.0102,active
98,0.2914,0.0312,active
99,0.3053,0.0189,active
100,0.2884,0.0119,active
101,0.2964,0.009,active
102,0.2988,0.0151,active
103,0.3003,0.0281,active
104,0.3053,0.0141,active
105,0.2979,0.0272,active
106,0.3113,0.0122,active
107,0.2968,0.0302,active
108,0.3061,0.0121,active
109,0.3051,0.0264,active
110,0.3007,0.0197,active
111,0.3028,0.0199,active
112,0.297,0.0222,active
113,0.3085,0.0266,active
114,0.3099,0.0115,active
115,0.2975,0.0157,active
116,0.2922,0.0102,active
117,0.2969,0.0269,active
118,0.3016,0.0103,active
119,0.3087,0.0138,active
120,0.299,0.0123,active
121,0.2975,0.0284,active
122,0.2989,0.0181,active
123,0.2957,0.0092,active
124,0.3125,0.0121,active
125,0.3091,0.0102,active
126,0.2957,0.0186,active
127,0.2898,0.0274,active
128,0.2993,0.0116,active
129,0.3055,0.0286,active
130,0.3139,0.0119,active
131,0.3029,0.0111,active
132,0.3011,0.0265,active
133,0.3047,0.0291,active
134,0.3064,0.013,active
135,0.2973,0.0275,active
136,0.3054,0.0136,active
137,0.3025,0.0205,active
138,0.2938,0.0162,active
139,0.3022,0.0103,active
140,0.307,0.0294,active
141,0.2975,0.0195,active
142,0.3041,0.0112,active
143,0.3055,0.0133,active
144,0.305,0.0189,active
145,0.2996,0.0144,active
146,0.2933,0.0285,active
147,0.3008,0.0136,active
148,0.3025,0.0105,active
149,0.2985,0.0097,active
150,0.3067,0.0131,active
151,0.3051,0.0229,active
152,0.297,0.0114,active
153,0.2935,0.0145,active
154,0.3057,0.0229,active
155,0.295,0.0112,active
156,0.3078,0.0214,active
157,0.2948,0.0092,active
158,0.3077,0.0143,active
159,0.3003,0.0226,active
160,0.3076,0.017,active
161,0.2895,0.0115,active
162,0.2981,0.026,active
163,0.3109,0.0414,active
164,0.3077,0.0229,active
165,0.3028,0.0096,active
166,0.3067,0.0109,active
167,0.3133,0.0117,active
168,0.3078,0.0203,active
169,0.298,0.0128,active
170,0.2979,0.0176,active
171,0.3003,0.0113,active
172,0.3012,0.0116,active
173,0.3016,0.0172,active
174,0.2932,0.0256,active
175,0.3076,0.0258,active
176,0.3065,0.0294,active
177,0.3054,0.0119,active
178,0.3002,0.0154,active
179,0.3094,0.0141,active
180,0.313,0.0154,active
181,0.3082,0.0157,active
182,0.2879,0.0138,active
183,0.3061,0.0164,active
184,0.3065,0.0292,active
185,0.306,0.0183,active
186,0.2975,0.0198,active
187,0.298,0.0181,active
188,0.3011,0.0268,active
189,0.3053,0.0097,active
190,0.2991,0.0118,active
191,0.2989,0.019,active
192,0.3014,0.0111,active
193,0.3012,0.0108,active
194,0.3083,0.0179,active
195,0.3074,0.0238,active
196,0.2914,0.0124,active
197,0.3064,0.0251,active
198,0.301,0.0148,active
199,0.3003,0.0186,active
200,0.2918,0.0105,active
201,0.2998,0.0107,active
202,0.3031,0.0198,active
203,0.2983,0.0108,active
204,0.3055,0.0134,active
205,0.2937,0.027,active
206,0.3072,0.0214,active
207,0.2952,0.0128,active
208,0.3043,0.0108,active
209,0.3117,0.0105,active
210,0.303,0.0117,active
211,0.3011,0.0106,active
212,0.3049,0.0147,active
213,0.3025,0.0111,active
214,0.2957,0.0129,active
215,0.2975,0.0126,active
216,0.302,0.0111,active
217,0.3203,0.0212,active
218,0.2949,0.0105,active
219,0.3084,0.0172,active
220,0.3001,0.0162,active
221,0.3092,0.0106,active
222,0.2994,0.0288,active
223,0.2945,0.0133,active
224,0.3004,0.0138,active
225,0.2936,0.0111,active
226,0.3119,0.0212,active
227,0.3079,0.0118,active
