[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  40/230 | actifs= 4 | acc=0.881 prec=0.654 recall=0.165 F1=0.264 loss=0.3066 | eps=30.349 | duree=0.085s
[server] round  41/230 | actifs= 4 | acc=0.881 prec=0.654 recall=0.165 F1=0.264 loss=0.3072 | eps=30.726 | duree=0.086s
[server] round  42/230 | actifs= 4 | acc=0.882 prec=0.667 recall=0.175 F1=0.277 loss=0.3066 | eps=31.098 | duree=0.077s
[server] round  43/230 | actifs= 4 | acc=0.882 prec=0.667 recall=0.175 F1=0.277 loss=0.3071 | eps=31.466 | duree=0.263s
[server] round  44/230 | actifs= 4 | acc=0.885 prec=0.690 recall=0.194 F1=0.303 loss=0.3075 | eps=31.830 | duree=0.197s
[server] round  45/230 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3077 | eps=32.189 | duree=0.131s
[server] round  46/230 | actifs= 4 | acc=0.887 prec=0.697 recall=0.223 F1=0.338 loss=0.3079 | eps=32.545 | duree=0.099s
[server] round  47/230 | actifs= 4 | acc=0.887 prec=0.697 recall=0.223 F1=0.338 loss=0.3073 | eps=32.897 | duree=0.085s
[server] round  48/230 | actifs= 4 | acc=0.887 prec=0.697 recall=0.223 F1=0.338 loss=0.3078 | eps=33.245 | duree=0.17s
[server] round  49/230 | actifs= 4 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3072 | eps=33.590 | duree=0.106s
[server] round  50/230 | actifs= 4 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3069 | eps=33.931 | duree=0.106s
[server] round  51/230 | actifs= 4 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3067 | eps=34.268 | duree=0.108s
[server] round  52/230 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3071 | eps=34.603 | duree=0.103s
[server] round  53/230 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3072 | eps=34.934 | duree=0.105s
[server] round  54/230 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3076 | eps=35.262 | duree=0.1s
