round,grad_norm,duration_s,status
1,0.4356,0.0062,active
2,0.3937,0.0052,active
3,0.3973,0.0053,active
4,0.4087,0.0052,active
5,0.3903,0.006,active
1,0.435,0.0059,active
2,0.4157,0.0053,active
3,0.407,0.0057,active
4,0.3969,0.0055,active
5,0.4136,0.0064,active
1,0.175,0.0075,active
2,0.1622,0.006,active
3,0.1602,0.0067,active
4,0.1604,0.007,active
5,0.162,0.0072,active
1,0.1991,0.0061,active
2,0.1922,0.0061,active
3,0.1738,0.0064,active
4,0.1823,0.0062,active
5,0.1868,0.0062,active
1,0.6328,0.007,active
2,0.6372,0.0056,active
3,0.6456,0.006,active
4,0.6566,0.0055,active
5,0.6398,0.0058,active
1,0.6292,0.0068,active
2,0.622,0.0057,active
3,0.5874,0.0056,active
4,0.6526,0.0053,active
5,0.5953,0.0062,active
1,0.1965,0.0073,active
2,0.2038,0.0057,active
3,0.1997,0.0058,active
4,0.1989,0.0056,active
5,0.1874,0.0072,active
1,0.1987,0.009,active
2,0.1951,0.0093,active
3,0.1845,0.008,active
4,0.1863,0.0093,active
5,0.181,0.0081,active
1,0.1898,0.0097,active
2,0.183,0.0084,active
3,0.1804,0.0093,active
4,0.1729,0.0097,active
5,0.1769,0.0124,active
1,0.1784,0.0099,active
2,0.1832,0.01,active
3,0.1766,0.0106,active
4,0.1745,0.012,active
5,0.1733,0.0099,active
1,0.1488,0.0107,active
2,0.1556,0.0099,active
3,0.1562,0.0096,active
4,0.1545,0.0108,active
5,0.1457,0.0096,active
1,0.161,0.0103,active
2,0.1618,0.0093,active
3,0.151,0.0092,active
4,0.1512,0.0089,active
5,0.1478,0.0094,active
1,0.1578,0.0097,active
2,0.1599,0.0132,active
3,0.1591,0.0106,active
4,0.1472,0.0097,active
5,0.1409,0.0092,active
1,0.1525,0.0094,active
2,0.1548,0.0092,active
3,0.1574,0.0095,active
4,0.1491,0.0094,active
5,0.1415,0.0097,active
1,0.1579,0.009,active
2,0.1598,0.0093,active
3,0.1449,0.0099,active
4,0.1503,0.0096,active
5,0.1479,0.0092,active
1,0.1561,0.0101,active
2,0.1552,0.0103,active
3,0.1553,0.0097,active
4,0.1569,0.0098,active
5,0.1527,0.0093,active
1,0.1516,0.011,active
2,0.1544,0.011,active
3,0.1454,0.0119,active
4,0.149,0.0095,active
5,0.1477,0.0094,active
