round,grad_norm,duration_s,status
1,0.3384,0.0033,active
2,0.3419,0.0025,active
3,0.3392,0.0025,active
4,0.3391,0.0024,active
5,0.3387,0.0026,active
6,0.3217,0.0025,active
7,0.3133,0.0138,active
8,0.3075,0.0098,active
9,0.3141,0.0074,active
10,0.3072,0.0032,active
11,0.3112,0.0039,active
12,0.3164,0.0039,active
13,0.3108,0.0081,active
14,0.3057,0.0067,active
15,0.3062,0.0043,active
16,0.304,0.0036,active
17,0.3,0.0051,active
18,0.3108,0.0026,active
19,0.2998,0.0135,active
20,0.2946,0.0074,active
21,0.3043,0.0028,active
22,0.3077,0.0073,active
23,0.3079,0.0029,active
24,0.3006,0.0041,active
25,0.3089,0.0131,active
26,0.3117,0.0043,active
27,0.3077,0.003,active
28,0.3039,0.0143,active
29,0.3037,0.0129,active
30,0.3065,0.0025,active
31,0.3024,0.0027,active
32,0.3049,0.0043,active
33,0.3041,0.0102,active
34,0.3024,0.0123,active
35,0.3086,0.0028,active
36,0.3132,0.0131,active
37,0.3075,0.0127,active
38,0.3031,0.0125,active
39,0.3032,0.0122,active
40,0.3081,0.0123,active
41,0.3062,0.0129,active
42,0.3004,0.0024,active
43,0.3101,0.0028,active
44,0.3057,0.0041,active
45,0.3048,0.0069,active
46,0.3066,0.0027,active
47,0.3102,0.0093,active
48,0.3115,0.0029,active
49,0.3029,0.0074,active
50,0.3036,0.0027,active
51,0.3106,0.0041,active
52,0.3095,0.0123,active
53,0.3072,0.0124,active
54,0.3081,0.0118,active
55,0.3051,0.0023,active
56,0.307,0.0028,active
57,0.3116,0.0072,active
58,0.3123,0.0025,active
59,0.3058,0.0026,active
60,0.313,0.0068,active
61,0.3086,0.0126,active
62,0.3073,0.0129,active
63,0.303,0.0129,active
64,0.3106,0.012,active
65,0.3074,0.0088,active
66,0.306,0.0027,active
67,0.3006,0.0076,active
68,0.3061,0.0024,active
69,0.3134,0.0026,active
70,0.3098,0.0027,active
71,0.3069,0.0027,active
72,0.307,0.0056,active
73,0.2989,0.0027,active
74,0.3053,0.0026,active
75,0.306,0.0031,active
76,0.3121,0.0128,active
77,0.3088,0.0126,active
78,0.311,0.0026,active
79,0.3098,0.0026,active
80,0.3131,0.0026,active
81,0.3135,0.0031,active
82,0.3071,0.0098,active
83,0.3193,0.0124,active
84,0.3088,0.0088,active
85,0.3131,0.0104,active
86,0.3118,0.0127,active
87,0.3151,0.0127,active
88,0.315,0.0128,active
89,0.3116,0.0129,active
90,0.3075,0.0025,active
91,0.3099,0.0029,active
92,0.3095,0.0035,active
93,0.3167,0.0066,active
94,0.3126,0.013,active
95,0.3118,0.0027,active
96,0.3186,0.0076,active
97,0.3173,0.0024,active
98,0.3157,0.0117,active
99,0.3154,0.0028,active
100,0.3195,0.0026,active
