round,grad_norm,duration_s,status
1,1.1111,0.0103,active
2,1.0658,0.0233,active
3,0.9762,0.0255,active
4,0.8977,0.0093,active
5,0.7775,0.0093,active
6,0.673,0.0253,active
7,0.5865,0.0301,active
8,0.5314,0.0297,active
9,0.4785,0.0217,active
10,0.4268,0.0113,active
11,0.3908,0.0116,active
12,0.3608,0.014,active
13,0.3261,0.0212,active
14,0.3161,0.0203,active
15,0.2909,0.0146,active
16,0.2788,0.0126,active
17,0.2593,0.0176,active
18,0.256,0.0328,active
19,0.2587,0.0288,active
20,0.2522,0.0213,active
21,0.2456,0.0097,active
22,0.2493,0.0281,active
23,0.2349,0.0095,active
24,0.2361,0.014,active
25,0.2446,0.0282,active
26,0.2294,0.015,active
27,0.2245,0.0113,active
28,0.225,0.0318,active
29,0.2235,0.0301,active
30,0.2187,0.0214,active
31,0.2352,0.0089,active
32,0.2202,0.0143,active
33,0.2221,0.0217,active
34,0.205,0.0264,active
35,0.2248,0.0108,active
36,0.2161,0.0281,active
37,0.2199,0.0266,active
38,0.2202,0.0258,active
39,0.2147,0.0259,active
40,0.231,0.0287,active
41,0.228,0.0274,active
42,0.221,0.0266,active
43,0.2208,0.0093,active
44,0.2196,0.0127,active
45,0.2177,0.0227,active
46,0.2124,0.0097,active
47,0.206,0.0203,active
48,0.2179,0.0116,active
49,0.2331,0.0202,active
50,0.2162,0.009,active
51,0.2211,0.0153,active
52,0.2193,0.0231,active
53,0.2221,0.0291,active
54,0.2318,0.0307,active
55,0.2097,0.0116,active
56,0.2149,0.0093,active
57,0.2259,0.0264,active
58,0.2268,0.0264,active
59,0.2149,0.0099,active
60,0.2194,0.0212,active
61,0.2215,0.028,active
62,0.2258,0.0276,active
63,0.2266,0.0276,active
64,0.2272,0.0265,active
65,0.2175,0.0266,active
66,0.2437,0.0111,active
67,0.2319,0.0188,active
68,0.2102,0.0221,active
69,0.2041,0.0084,active
70,0.2122,0.0232,active
71,0.2193,0.0254,active
72,0.2381,0.0288,active
73,0.2579,0.029,active
74,0.2197,0.0094,active
75,0.2222,0.0102,active
76,0.2242,0.0265,active
77,0.2233,0.0286,active
78,0.2242,0.024,active
79,0.2234,0.0268,active
80,0.2275,0.0092,active
81,0.2161,0.0101,active
82,0.2239,0.0219,active
83,0.2205,0.0295,active
84,0.2263,0.027,active
85,0.2212,0.0295,active
86,0.2147,0.0296,active
87,0.2085,0.0289,active
88,0.214,0.0256,active
89,0.2206,0.0261,active
90,0.2166,0.022,active
91,0.231,0.0106,active
92,0.2175,0.0117,active
93,0.2256,0.0185,active
94,0.2127,0.0271,active
95,0.2208,0.0096,active
96,0.212,0.0208,active
97,0.2246,0.024,active
98,0.223,0.0269,active
99,0.2205,0.0253,active
100,0.2107,0.0093,active
