round,grad_norm,duration_s,status
1,2.6415,0.0801,active
2,2.3801,0.0726,active
3,2.1239,0.0649,active
4,1.9012,0.069,active
5,1.6916,0.074,active
6,1.497,0.0754,active
7,1.3434,0.0674,active
8,1.2314,0.0738,active
9,1.1107,0.1056,active
10,1.0117,0.0632,active
11,0.9339,0.0636,active
12,0.8778,0.0445,active
13,0.8206,0.0704,active
14,0.7963,0.0815,active
15,0.786,0.0737,active
16,0.7686,0.065,active
17,0.745,0.107,active
18,0.7528,0.0736,active
19,0.7103,0.074,active
20,0.6985,0.0608,active
21,0.6985,0.0559,active
22,0.685,0.0743,active
23,0.6735,0.0613,active
24,0.6803,0.0497,active
25,0.6866,0.091,active
26,0.6702,0.0565,active
27,0.6493,0.0335,active
28,0.6571,0.0633,active
29,0.6588,0.0632,active
30,0.6379,0.0619,active
31,0.6471,0.0513,active
32,0.6501,0.0431,active
33,0.665,0.0614,active
34,0.6683,0.1126,active
35,0.6446,0.074,active
36,0.6619,0.0606,active
37,0.651,0.0635,active
38,0.6487,0.0618,active
39,0.6323,0.0562,active
40,0.6475,0.0643,active
41,0.6551,0.0569,active
42,0.6294,0.0595,active
43,0.6198,0.0467,active
44,0.6303,0.0615,active
45,0.6443,0.0562,active
46,0.6284,0.0383,active
47,0.6429,0.0557,active
48,0.6324,0.0375,active
49,0.6307,0.062,active
50,0.6508,0.0491,active
51,0.6376,0.04,active
52,0.6355,0.0569,active
53,0.6458,0.0674,active
54,0.6257,0.0624,active
55,0.6514,0.0608,active
56,0.6173,0.0522,active
57,0.6256,0.0737,active
58,0.6354,0.0651,active
59,0.6353,0.0301,active
60,0.6197,0.0554,active
61,0.6337,0.0609,active
62,0.6433,0.0623,active
63,0.6277,0.0578,active
64,0.6427,0.0773,active
65,0.6609,0.0615,active
66,0.636,0.0377,active
67,0.6286,0.0556,active
68,0.6121,0.0649,active
69,0.6524,0.0656,active
70,0.6703,0.0634,active
71,0.6215,0.0634,active
72,0.6306,0.0612,active
73,0.6332,0.0612,active
74,0.6381,0.0569,active
75,0.6255,0.039,active
76,0.6374,0.0569,active
77,0.651,0.0652,active
78,0.6484,0.0615,active
79,0.6509,0.0617,active
80,0.6385,0.0589,active
81,0.6249,0.0336,active
82,0.668,0.0555,active
83,0.6513,0.0625,active
84,0.6683,0.0582,active
85,0.6324,0.0634,active
86,0.644,0.0629,active
87,0.6632,0.0649,active
88,0.6423,0.0576,active
89,0.6372,0.0712,active
90,0.6551,0.0639,active
91,0.6331,0.0561,active
92,0.6319,0.0418,active
93,0.6407,0.0533,active
94,0.6908,0.0589,active
95,0.6257,0.0298,active
96,0.6368,0.0529,active
97,0.6276,0.0653,active
98,0.6499,0.0742,active
99,0.6311,0.0646,active
100,0.6404,0.0616,active
