round,grad_norm,duration_s,status
1,2.7289,0.0719,active
2,2.4656,0.0655,active
3,2.2089,0.0579,active
4,1.9586,0.0611,active
5,1.7342,0.0645,active
6,1.5617,0.0626,active
7,1.3975,0.0686,active
8,1.2358,0.0641,active
9,1.1283,0.081,active
10,1.0286,0.0556,active
11,0.9313,0.0364,active
12,0.8743,0.0376,active
13,0.8102,0.0542,active
14,0.7607,0.049,active
15,0.7018,0.0405,active
16,0.6863,0.0331,active
17,0.6454,0.0949,active
18,0.615,0.0659,active
19,0.5825,0.0641,active
20,0.5698,0.053,active
21,0.5328,0.0323,active
22,0.5161,0.0671,active
23,0.4962,0.0476,active
24,0.527,0.0439,active
25,0.4839,0.0789,active
26,0.481,0.0476,active
27,0.4623,0.03,active
28,0.4602,0.0578,active
29,0.4514,0.0577,active
30,0.4558,0.0552,active
31,0.4405,0.0277,active
32,0.4307,0.0359,active
33,0.4171,0.0552,active
34,0.4293,0.119,active
35,0.4186,0.0646,active
36,0.4078,0.0536,active
37,0.4226,0.0547,active
38,0.4101,0.0585,active
39,0.4037,0.0499,active
40,0.4084,0.057,active
41,0.392,0.0525,active
42,0.4005,0.0568,active
43,0.4127,0.0257,active
44,0.3728,0.0418,active
45,0.4044,0.0491,active
46,0.389,0.0302,active
47,0.3583,0.0482,active
48,0.3721,0.0318,active
49,0.3907,0.0539,active
50,0.3877,0.0276,active
51,0.3781,0.0362,active
52,0.3669,0.0521,active
53,0.3848,0.0625,active
54,0.3528,0.0586,active
55,0.3752,0.0533,active
56,0.3648,0.0299,active
57,0.3768,0.0672,active
58,0.3704,0.0578,active
59,0.3827,0.0284,active
60,0.3667,0.049,active
61,0.355,0.0541,active
62,0.3665,0.058,active
63,0.3757,0.0504,active
64,0.3641,0.0692,active
65,0.3803,0.054,active
66,0.3734,0.0319,active
67,0.3708,0.0482,active
68,0.3722,0.0573,active
69,0.3591,0.058,active
70,0.3639,0.0566,active
71,0.3657,0.0549,active
72,0.3742,0.0554,active
73,0.357,0.0573,active
74,0.3609,0.0538,active
75,0.3532,0.034,active
76,0.364,0.0495,active
77,0.3583,0.0588,active
78,0.3526,0.0542,active
79,0.3469,0.0547,active
80,0.3563,0.0508,active
81,0.3759,0.0268,active
82,0.3451,0.0479,active
83,0.3537,0.056,active
84,0.3443,0.0532,active
85,0.3552,0.0616,active
86,0.3461,0.0571,active
87,0.3487,0.0631,active
88,0.3788,0.0511,active
89,0.3547,0.0651,active
90,0.3564,0.0561,active
91,0.3668,0.0457,active
92,0.3537,0.0362,active
93,0.3441,0.0437,active
94,0.3549,0.051,active
95,0.3455,0.0274,active
96,0.3283,0.0474,active
97,0.3369,0.0588,active
98,0.3592,0.0656,active
99,0.3419,0.0577,active
100,0.3571,0.0576,active
