[server] en ecoute sur 127.0.0.1:8768 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  42/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3611 | eps=31.098 | duree=0.061s
[server] round  43/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3603 | eps=31.466 | duree=0.049s
[server] round  44/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3598 | eps=31.830 | duree=0.065s
[server] round  45/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3597 | eps=32.189 | duree=0.058s
[server] round  46/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3596 | eps=32.545 | duree=0.043s
[server] round  47/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3594 | eps=32.897 | duree=0.059s
[server] round  48/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3589 | eps=33.245 | duree=0.043s
[server] round  49/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3591 | eps=33.590 | duree=0.065s
[server] round  50/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3591 | eps=33.931 | duree=0.052s
[server] round  51/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3588 | eps=34.268 | duree=0.042s
[server] round  52/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3580 | eps=34.603 | duree=0.058s
[server] round  53/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3572 | eps=34.934 | duree=0.069s
[server] round  54/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3569 | eps=35.262 | duree=0.064s
[server] round  55/100 | actifs= 5 | acc=0.871 prec=0.000 recall=0.000 F1=0.000 loss=0.3570 | eps=35.587 | duree=0.062s
[server] round  56/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3563 | eps=35.909 | duree=0.056s
[server] round  57/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3560 | eps=36.228 | duree=0.076s
[server] round  58/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3554 | eps=36.544 | duree=0.067s
[server] round  59/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3550 | eps=36.858 | duree=0.037s
[server] round  60/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3553 | eps=37.169 | duree=0.059s
[server] round  61/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3549 | eps=37.478 | duree=0.062s
[server] round  62/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3541 | eps=37.784 | duree=0.064s
[server] round  63/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3539 | eps=38.087 | duree=0.059s
[server] round  64/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3538 | eps=38.388 | duree=0.079s
[server] round  65/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3537 | eps=38.687 | duree=0.063s
[server] round  66/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3524 | eps=38.983 | duree=0.044s
[server] round  67/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3522 | eps=39.278 | duree=0.059s
[server] round  68/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3526 | eps=39.570 | duree=0.067s
[server] round  69/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3523 | eps=39.860 | duree=0.067s
[server] round  70/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3525 | eps=40.147 | duree=0.065s
[server] round  71/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3523 | eps=40.433 | duree=0.065s
[server] round  72/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3521 | eps=40.717 | duree=0.063s
[server] round  73/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3520 | eps=40.999 | duree=0.063s
[server] round  74/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3518 | eps=41.278 | duree=0.059s
[server] round  75/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3519 | eps=41.556 | duree=0.041s
[server] round  76/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3520 | eps=41.833 | duree=0.058s
[server] round  77/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3510 | eps=42.107 | duree=0.067s
[server] round  78/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3508 | eps=42.379 | duree=0.063s
[server] round  79/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3502 | eps=42.650 | duree=0.063s
[server] round  80/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3504 | eps=42.919 | duree=0.061s
[server] round  81/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3507 | eps=43.187 | duree=0.037s
[server] round  82/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3502 | eps=43.453 | duree=0.058s
[server] round  83/100 | actifs= 5 | acc=0.873 prec=1.000 recall=0.010 F1=0.019 loss=0.3500 | eps=43.717 | duree=0.064s
