[server] en ecoute sur 127.0.0.1:8765 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  40/230 | actifs= 4 | acc=0.884 prec=0.692 recall=0.175 F1=0.279 loss=0.3050 | eps=11.381 | duree=0.291s
[server] round  41/230 | actifs= 4 | acc=0.881 prec=0.643 recall=0.175 F1=0.275 loss=0.3050 | eps=11.522 | duree=0.145s
[server] round  42/230 | actifs= 4 | acc=0.882 prec=0.655 recall=0.184 F1=0.288 loss=0.3050 | eps=11.662 | duree=0.161s
[server] round  43/230 | actifs= 4 | acc=0.884 prec=0.667 recall=0.194 F1=0.301 loss=0.3053 | eps=11.800 | duree=0.143s
[server] round  44/230 | actifs= 4 | acc=0.886 prec=0.676 recall=0.223 F1=0.336 loss=0.3048 | eps=11.936 | duree=0.194s
[server] round  45/230 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3051 | eps=12.071 | duree=0.292s
[server] round  46/230 | actifs= 4 | acc=0.887 prec=0.686 recall=0.233 F1=0.348 loss=0.3049 | eps=12.204 | duree=0.136s
[server] round  47/230 | actifs= 4 | acc=0.889 prec=0.694 recall=0.243 F1=0.360 loss=0.3060 | eps=12.336 | duree=0.132s
[server] round  48/230 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3061 | eps=12.467 | duree=0.145s
[server] round  49/230 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3075 | eps=12.596 | duree=0.119s
[server] round  50/230 | actifs= 4 | acc=0.891 prec=0.722 recall=0.252 F1=0.374 loss=0.3092 | eps=12.724 | duree=0.128s
[server] round  51/230 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3093 | eps=12.851 | duree=0.142s
[server] round  52/230 | actifs= 4 | acc=0.887 prec=0.676 recall=0.243 F1=0.357 loss=0.3095 | eps=12.976 | duree=0.129s
[server] round  53/230 | actifs= 4 | acc=0.890 prec=0.703 recall=0.252 F1=0.371 loss=0.3110 | eps=13.100 | duree=0.13s
[server] round  54/230 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3086 | eps=13.223 | duree=0.156s
[server] round  55/230 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3101 | eps=13.345 | duree=0.181s
[server] round  56/230 | actifs= 4 | acc=0.890 prec=0.692 recall=0.262 F1=0.380 loss=0.3098 | eps=13.466 | duree=0.127s
[server] round  57/230 | actifs= 4 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3084 | eps=13.586 | duree=0.134s
[server] round  58/230 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3096 | eps=13.704 | duree=0.148s
[server] round  59/230 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3079 | eps=13.822 | duree=0.14s
[server] round  60/230 | actifs= 4 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3082 | eps=13.938 | duree=0.124s
[server] round  61/230 | actifs= 4 | acc=0.891 prec=0.690 recall=0.282 F1=0.400 loss=0.3087 | eps=14.054 | duree=0.142s
[server] round  62/230 | actifs= 4 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3125 | eps=14.169 | duree=0.139s
[server] round  63/230 | actifs= 4 | acc=0.892 prec=0.707 recall=0.282 F1=0.403 loss=0.3116 | eps=14.283 | duree=0.15s
[server] round  64/230 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3144 | eps=14.396 | duree=0.128s
[server] round  65/230 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3161 | eps=14.508 | duree=0.144s
[server] round  66/230 | actifs= 4 | acc=0.894 prec=0.725 recall=0.282 F1=0.406 loss=0.3158 | eps=14.619 | duree=0.15s
[server] round  67/230 | actifs= 4 | acc=0.891 prec=0.711 recall=0.262 F1=0.383 loss=0.3167 | eps=14.729 | duree=0.135s
[server] round  68/230 | actifs= 4 | acc=0.894 prec=0.725 recall=0.282 F1=0.406 loss=0.3170 | eps=14.839 | duree=0.145s
[server] round  69/230 | actifs= 4 | acc=0.892 prec=0.718 recall=0.272 F1=0.394 loss=0.3155 | eps=14.947 | duree=0.155s
[server] round  70/230 | actifs= 4 | acc=0.891 prec=0.700 recall=0.272 F1=0.392 loss=0.3159 | eps=15.055 | duree=0.15s
[server] round  71/230 | actifs= 4 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3171 | eps=15.162 | duree=0.149s
[server] round  72/230 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3174 | eps=15.269 | duree=0.148s
[server] round  73/230 | actifs= 4 | acc=0.890 prec=0.683 recall=0.272 F1=0.389 loss=0.3192 | eps=15.374 | duree=0.14s
[server] round  74/230 | actifs= 4 | acc=0.887 prec=0.651 recall=0.272 F1=0.384 loss=0.3196 | eps=15.479 | duree=0.169s
[server] round  75/230 | actifs= 4 | acc=0.887 prec=0.651 recall=0.272 F1=0.384 loss=0.3194 | eps=15.584 | duree=0.13s
[server] round  76/230 | actifs= 4 | acc=0.887 prec=0.651 recall=0.272 F1=0.384 loss=0.3195 | eps=15.687 | duree=0.144s
[server] round  77/230 | actifs= 4 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3204 | eps=15.790 | duree=0.146s
[server] round  78/230 | actifs= 4 | acc=0.889 prec=0.667 recall=0.272 F1=0.386 loss=0.3206 | eps=15.892 | duree=0.154s
[server] round  79/230 | actifs= 4 | acc=0.890 prec=0.674 recall=0.282 F1=0.397 loss=0.3197 | eps=15.994 | duree=0.171s
[server] round  80/230 | actifs= 4 | acc=0.892 prec=0.698 recall=0.291 F1=0.411 loss=0.3200 | eps=16.095 | duree=0.14s
