round,grad_norm,duration_s,status
1,0.1342,0.0164,active
2,0.1384,0.0185,active
3,0.1305,0.0085,active
4,0.1298,0.023,active
5,0.1321,0.0258,active
6,0.1392,0.0132,active
7,0.1306,0.0072,active
8,0.1268,0.0161,active
9,0.1346,0.0133,active
10,0.1324,0.0163,active
11,0.1303,0.0183,active
12,0.1332,0.0097,active
13,0.1364,0.0066,active
14,0.1315,0.0072,active
15,0.1324,0.016,active
16,0.1282,0.0143,active
17,0.1334,0.0074,active
18,0.1309,0.0143,active
19,0.1332,0.0152,active
20,0.1306,0.0155,active
21,0.1339,0.0071,active
22,0.1318,0.0142,active
23,0.1315,0.0091,active
24,0.1342,0.0188,active
25,0.1309,0.0195,active
26,0.1294,0.0124,active
27,0.1328,0.007,active
28,0.1299,0.0135,active
29,0.131,0.0116,active
30,0.1285,0.0136,active
31,0.1347,0.0117,active
32,0.1348,0.0186,active
33,0.1297,0.0073,active
34,0.1343,0.0127,active
35,0.1326,0.0081,active
36,0.1248,0.007,active
37,0.1347,0.0068,active
38,0.1321,0.0081,active
39,0.1286,0.0071,active
40,0.1293,0.0202,active
41,0.133,0.017,active
42,0.1296,0.0186,active
43,0.1292,0.0128,active
44,0.1337,0.0134,active
45,0.1334,0.0098,active
46,0.128,0.0128,active
47,0.1321,0.0125,active
48,0.1282,0.0075,active
49,0.1346,0.0081,active
50,0.1363,0.0079,active
51,0.1291,0.007,active
52,0.1334,0.0082,active
53,0.1317,0.0143,active
54,0.1351,0.0133,active
55,0.1288,0.0194,active
56,0.1353,0.0101,active
57,0.1315,0.0132,active
58,0.1355,0.0095,active
59,0.1331,0.0099,active
60,0.1292,0.0078,active
61,0.1318,0.0123,active
62,0.1348,0.0084,active
63,0.1315,0.0177,active
64,0.1315,0.0068,active
65,0.1304,0.015,active
66,0.1298,0.0142,active
67,0.134,0.0145,active
68,0.1279,0.0202,active
69,0.1334,0.0072,active
70,0.1296,0.0131,active
71,0.133,0.0065,active
72,0.1282,0.0132,active
73,0.1329,0.0087,active
74,0.1323,0.0136,active
75,0.1337,0.0086,active
76,0.131,0.0114,active
77,0.1326,0.0197,active
78,0.1342,0.0223,active
79,0.1329,0.0135,active
80,0.1314,0.0134,active
81,0.1313,0.0226,active
82,0.1319,0.0066,active
83,0.1313,0.0061,active
84,0.1257,0.021,active
85,0.1313,0.0163,active
86,0.134,0.0183,active
87,0.1299,0.018,active
88,0.1291,0.02,active
89,0.1282,0.0086,active
90,0.1294,0.0123,active
91,0.135,0.0202,active
92,0.1339,0.011,active
93,0.1298,0.0075,active
94,0.1309,0.0072,active
95,0.1336,0.0082,active
96,0.1332,0.0205,active
97,0.129,0.0094,active
98,0.1346,0.0111,active
99,0.1293,0.0218,active
100,0.1295,0.0189,active
101,0.128,0.0118,active
102,0.1343,0.0222,active
103,0.1315,0.0063,active
104,0.1272,0.0177,active
105,0.1282,0.0069,active
106,0.1369,0.0108,active
107,0.1278,0.0174,active
108,0.1314,0.0219,active
109,0.1328,0.0072,active
110,0.1357,0.0128,active
111,0.1363,0.0092,active
112,0.1322,0.0151,active
113,0.1295,0.0065,active
114,0.1247,0.011,active
115,0.1296,0.0095,active
116,0.133,0.0182,active
117,0.1319,0.0131,active
118,0.1284,0.0109,active
119,0.1304,0.0152,active
120,0.1282,0.0148,active
121,0.1329,0.0212,active
122,0.1271,0.0074,active
123,0.1294,0.0075,active
124,0.1342,0.0205,active
125,0.1297,0.013,active
126,0.1276,0.0066,active
127,0.1305,0.0093,active
128,0.1317,0.0121,active
129,0.1308,0.0066,active
130,0.1291,0.0139,active
131,0.1265,0.0065,active
132,0.1294,0.0154,active
133,0.1351,0.0113,active
134,0.1309,0.0109,active
135,0.135,0.0126,active
136,0.1267,0.0064,active
137,0.1307,0.0139,active
138,0.1351,0.0065,active
