round,grad_norm,duration_s,status
1,0.4772,0.0388,active
2,0.4519,0.0567,active
3,0.4465,0.0312,active
4,0.4373,0.0516,active
5,0.4206,0.0625,active
6,0.4241,0.0432,active
7,0.429,0.051,active
8,0.4277,0.0484,active
9,0.4095,0.0483,active
10,0.4166,0.0524,active
11,0.4386,0.0462,active
12,0.407,0.0362,active
13,0.4009,0.0517,active
14,0.4213,0.0223,active
15,0.4193,0.0446,active
16,0.396,0.0556,active
17,0.4261,0.0474,active
18,0.4157,0.0551,active
19,0.4046,0.0389,active
20,0.4201,0.0426,active
21,0.417,0.0216,active
22,0.407,0.0429,active
23,0.4184,0.0343,active
24,0.4171,0.0506,active
25,0.4152,0.0533,active
26,0.4051,0.0369,active
27,0.4241,0.0452,active
28,0.4105,0.0357,active
29,0.414,0.035,active
30,0.4173,0.0382,active
31,0.4073,0.0402,active
32,0.418,0.056,active
33,0.418,0.0215,active
34,0.4094,0.0347,active
35,0.4136,0.023,active
36,0.4236,0.0464,active
37,0.4229,0.0452,active
38,0.4144,0.0262,active
39,0.4126,0.0393,active
40,0.4211,0.0457,active
41,0.4133,0.0393,active
42,0.4182,0.0482,active
43,0.4042,0.0379,active
44,0.4136,0.0399,active
45,0.4122,0.0278,active
46,0.4103,0.0312,active
47,0.4066,0.0366,active
48,0.4118,0.0263,active
49,0.4159,0.0233,active
50,0.4089,0.0271,active
51,0.4131,0.02,active
52,0.4156,0.0238,active
53,0.412,0.0359,active
54,0.414,0.0376,active
55,0.4137,0.0472,active
56,0.4162,0.0294,active
57,0.4175,0.0359,active
58,0.421,0.046,active
59,0.4142,0.0248,active
60,0.4152,0.0366,active
61,0.4191,0.0323,active
62,0.4008,0.0251,active
63,0.4226,0.0345,active
64,0.4028,0.0462,active
65,0.4081,0.0329,active
66,0.4146,0.035,active
67,0.4061,0.0361,active
68,0.4082,0.0459,active
69,0.402,0.0361,active
70,0.4197,0.0466,active
71,0.4328,0.0481,active
72,0.4152,0.0391,active
73,0.4175,0.0317,active
74,0.4155,0.0309,active
75,0.4075,0.028,active
76,0.4165,0.0402,active
77,0.4061,0.046,active
78,0.4107,0.0478,active
79,0.4013,0.0391,active
80,0.4092,0.0369,active
81,0.4036,0.0486,active
82,0.4107,0.0475,active
83,0.4162,0.0463,active
84,0.4132,0.0439,active
85,0.4201,0.0412,active
86,0.3995,0.0461,active
87,0.4188,0.0448,active
88,0.4146,0.0488,active
89,0.42,0.0249,active
90,0.4092,0.035,active
91,0.409,0.0411,active
92,0.4178,0.0358,active
93,0.4245,0.0234,active
94,0.4094,0.0422,active
95,0.4095,0.0355,active
96,0.4165,0.0438,active
97,0.4083,0.0277,active
98,0.4003,0.0482,active
99,0.4225,0.0502,active
100,0.4129,0.0392,active
101,0.4146,0.0366,active
102,0.4124,0.0481,active
103,0.3924,0.0393,active
104,0.4111,0.037,active
105,0.4035,0.0418,active
106,0.4033,0.0263,active
107,0.4194,0.0428,active
108,0.4284,0.0414,active
109,0.3985,0.0189,active
110,0.4282,0.0371,active
111,0.4257,0.0271,active
112,0.4054,0.0384,active
113,0.4022,0.0439,active
114,0.4241,0.0326,active
115,0.4205,0.0335,active
116,0.4147,0.0408,active
117,0.4221,0.0275,active
118,0.4192,0.047,active
119,0.4028,0.0377,active
120,0.4181,0.036,active
121,0.395,0.0461,active
122,0.4085,0.0198,active
123,0.4082,0.0445,active
124,0.4072,0.0456,active
125,0.405,0.0446,active
126,0.4073,0.0387,active
127,0.4178,0.0297,active
128,0.414,0.0348,active
129,0.41,0.0454,active
130,0.425,0.0497,active
131,0.4089,0.0434,active
132,0.417,0.0423,active
133,0.4164,0.0492,active
134,0.4129,0.0393,active
135,0.4149,0.0318,active
136,0.413,0.018,active
137,0.4147,0.0374,active
138,0.4171,0.0431,active
139,0.426,0.0426,active
140,0.4151,0.0373,active
141,0.4095,0.0515,active
142,0.4229,0.0264,active
143,0.4129,0.0302,active
144,0.4034,0.0244,active
145,0.418,0.0311,active
146,0.4046,0.05,active
147,0.4205,0.034,active
148,0.4201,0.035,active
149,0.4081,0.0412,active
150,0.4105,0.0314,active
151,0.4254,0.0285,active
152,0.4023,0.0469,active
153,0.4082,0.0456,active
154,0.4048,0.0252,active
155,0.4194,0.037,active
156,0.4,0.0349,active
157,0.4157,0.0502,active
158,0.412,0.037,active
159,0.4228,0.0281,active
160,0.4185,0.0503,active
161,0.4285,0.0441,active
162,0.4082,0.0349,active
163,0.4245,0.0357,active
164,0.4133,0.033,active
165,0.4121,0.0503,active
166,0.4103,0.0404,active
167,0.407,0.0291,active
168,0.4228,0.0229,active
169,0.4095,0.048,active
170,0.4118,0.036,active
171,0.4188,0.0206,active
172,0.4139,0.05,active
173,0.4078,0.0439,active
174,0.4097,0.0412,active
175,0.4055,0.0448,active
176,0.4002,0.0286,active
177,0.4274,0.0496,active
178,0.4102,0.0385,active
179,0.4177,0.0269,active
180,0.4156,0.048,active
181,0.4052,0.0482,active
182,0.4019,0.0505,active
183,0.394,0.0499,active
184,0.4193,0.0499,active
185,0.414,0.0515,active
186,0.4019,0.0466,active
187,0.4135,0.0326,active
188,0.4132,0.0352,active
189,0.4237,0.0378,active
190,0.4213,0.0479,active
191,0.4164,0.0251,active
192,0.3931,0.0384,active
193,0.4096,0.0387,active
194,0.4032,0.0495,active
195,0.4022,0.0438,active
196,0.4194,0.0205,active
197,0.4121,0.0376,active
198,0.4074,0.0384,active
199,0.4126,0.0488,active
200,0.4147,0.0525,active
201,0.4162,0.0277,active
202,0.4267,0.052,active
203,0.4086,0.0458,active
204,0.4251,0.0514,active
205,0.4114,0.0438,active
206,0.4101,0.0331,active
207,0.4212,0.0384,active
208,0.4026,0.0372,active
209,0.4161,0.0432,active
210,0.4124,0.0432,active
211,0.4345,0.0507,active
212,0.4162,0.0458,active
213,0.4139,0.0406,active
214,0.4202,0.041,active
215,0.4141,0.0437,active
216,0.4073,0.0516,active
217,0.413,0.0263,active
218,0.4038,0.0325,active
219,0.405,0.0298,active
220,0.4159,0.0292,active
221,0.4011,0.0249,active
222,0.4248,0.0463,active
223,0.402,0.0406,active
224,0.4168,0.0205,active
225,0.4202,0.0307,active
226,0.4137,0.0477,active
227,0.4164,0.0439,active
228,0.4138,0.0352,active
229,0.4184,0.0461,active
230,0.4167,0.0434,active
