round,grad_norm,duration_s,status
1,0.9705,0.1407,active
2,0.8332,0.1589,active
3,0.7796,0.1264,active
4,0.7553,0.2068,active
5,0.7347,0.2,active
6,0.6779,0.1562,active
7,0.6542,0.1411,active
8,0.636,0.1086,active
9,0.6051,0.1179,active
10,0.6023,0.1273,active
11,0.5823,0.1205,active
12,0.5734,0.1085,active
13,0.5888,0.1316,active
14,0.5802,0.1008,active
15,0.5851,0.1162,active
16,0.5808,0.1275,active
17,0.5579,0.1308,active
18,0.5853,0.1134,active
19,0.5707,0.1214,active
20,0.5746,0.1195,active
21,0.57,0.1047,active
22,0.5755,0.113,active
23,0.5739,0.1378,active
24,0.5694,0.0937,active
25,0.5828,0.0976,active
26,0.5723,0.1547,active
27,0.5747,0.1279,active
28,0.5685,0.114,active
29,0.5775,0.1108,active
30,0.5722,0.1012,active
31,0.5716,0.0938,active
32,0.5885,0.1108,active
33,0.5897,0.1014,active
34,0.5711,0.1004,active
35,0.5609,0.0822,active
36,0.569,0.1132,active
37,0.5838,0.1335,active
38,0.5665,0.1164,active
39,0.5894,0.1028,active
40,0.5603,0.2732,active
41,0.5705,0.1175,active
42,0.591,0.1285,active
43,0.572,0.1021,active
44,0.5708,0.1255,active
45,0.5747,0.1687,active
46,0.5673,0.1083,active
47,0.5637,0.1076,active
48,0.575,0.12,active
49,0.5817,0.0975,active
50,0.5723,0.1043,active
51,0.5723,0.0986,active
52,0.5638,0.1029,active
53,0.5775,0.1029,active
54,0.5887,0.084,active
55,0.5675,0.1372,active
56,0.5612,0.1038,active
57,0.5538,0.1104,active
58,0.5641,0.1241,active
59,0.5676,0.117,active
60,0.5808,0.1011,active
61,0.5764,0.113,active
62,0.5597,0.1169,active
63,0.5712,0.1256,active
64,0.5671,0.1046,active
65,0.5786,0.121,active
66,0.5632,0.1207,active
67,0.5967,0.1087,active
68,0.5648,0.1225,active
69,0.5774,0.1286,active
70,0.5705,0.1298,active
71,0.5437,0.1093,active
72,0.5734,0.111,active
73,0.5887,0.1128,active
74,0.5859,0.1418,active
75,0.5499,0.0948,active
76,0.5681,0.1239,active
77,0.5613,0.1294,active
78,0.5871,0.1233,active
79,0.5609,0.1328,active
80,0.5858,0.1221,active
81,0.5785,0.1231,active
82,0.56,0.123,active
83,0.5871,0.1289,active
84,0.5727,0.0964,active
85,0.5783,0.1191,active
86,0.5809,0.1475,active
87,0.5818,0.1289,active
