round,grad_norm,duration_s,status
1,2.7287,0.0779,active
2,2.4555,0.0264,active
3,2.1963,0.0639,active
4,1.9645,0.0569,active
5,1.7528,0.0572,active
6,1.4679,0.0715,active
7,1.2327,0.0723,active
8,1.0548,0.0404,active
9,0.9418,0.0542,active
10,0.8116,0.0443,active
11,0.7437,0.0587,active
12,0.698,0.0309,active
13,0.6354,0.0636,active
14,0.5999,0.0672,active
15,0.5925,0.0682,active
16,0.5498,0.0328,active
17,0.5199,0.0724,active
18,0.5293,0.067,active
19,0.5138,0.0662,active
20,0.5005,0.0368,active
21,0.4788,0.046,active
22,0.4495,0.1053,active
23,0.4571,0.0721,active
24,0.4576,0.0614,active
25,0.4617,0.0613,active
26,0.456,0.069,active
27,0.4438,0.0621,active
28,0.4354,0.0614,active
29,0.4501,0.0554,active
30,0.4549,0.0247,active
31,0.4368,0.0453,active
32,0.4605,0.0559,active
33,0.4352,0.026,active
34,0.4288,0.0393,active
35,0.4045,0.0573,active
36,0.4297,0.0543,active
37,0.4589,0.055,active
38,0.4255,0.0335,active
39,0.4549,0.0241,active
40,0.4507,0.0231,active
41,0.453,0.0488,active
42,0.4614,0.0525,active
43,0.4256,0.0723,active
44,0.4577,0.0245,active
45,0.4384,0.0592,active
46,0.431,0.0493,active
47,0.4273,0.0318,active
48,0.4293,0.0498,active
49,0.4305,0.0302,active
50,0.4154,0.0484,active
51,0.4366,0.0517,active
52,0.4328,0.0318,active
53,0.4575,0.0517,active
54,0.4162,0.048,active
55,0.4077,0.027,active
56,0.4227,0.0544,active
57,0.4349,0.0632,active
58,0.4395,0.0474,active
59,0.441,0.0718,active
60,0.4146,0.0373,active
61,0.4272,0.0337,active
62,0.4337,0.0578,active
63,0.4168,0.1188,active
64,0.4136,0.1127,active
65,0.4295,0.0633,active
66,0.4119,0.0573,active
67,0.4243,0.0235,active
68,0.4136,0.05,active
69,0.4206,0.0471,active
70,0.4044,0.0629,active
71,0.442,0.0268,active
72,0.4167,0.0472,active
73,0.4064,0.0276,active
74,0.4148,0.0572,active
75,0.4166,0.0285,active
76,0.4336,0.0544,active
77,0.3991,0.055,active
78,0.4076,0.0573,active
79,0.405,0.0534,active
80,0.396,0.027,active
81,0.3987,0.0493,active
82,0.3979,0.0499,active
83,0.3952,0.0272,active
84,0.4183,0.0477,active
85,0.4087,0.0505,active
86,0.4098,0.0261,active
87,0.3968,0.0422,active
88,0.4184,0.028,active
89,0.4186,0.0651,active
90,0.4158,0.063,active
91,0.3935,0.0577,active
92,0.3945,0.03,active
93,0.4177,0.0473,active
94,0.4016,0.0276,active
95,0.4039,0.0486,active
96,0.4259,0.0508,active
97,0.4111,0.0565,active
98,0.4036,0.0543,active
99,0.3913,0.0615,active
100,0.3984,0.0348,active
