round,grad_norm,duration_s,status
1,0.996,0.0043,active
2,0.9917,0.0026,active
3,0.9855,0.0065,active
4,1.0143,0.0129,active
5,1.0332,0.0022,active
6,0.9173,0.0025,active
7,0.9731,0.005,active
8,1.0099,0.0043,active
9,0.9306,0.0045,active
10,0.9448,0.004,active
11,1.0697,0.0027,active
12,0.9228,0.0031,active
13,0.926,0.007,active
14,0.9114,0.0025,active
15,0.9337,0.0033,active
16,0.9385,0.0032,active
17,0.9895,0.0032,active
18,0.8808,0.0128,active
19,0.9643,0.0033,active
20,0.9015,0.0029,active
21,1.0358,0.0037,active
22,0.985,0.0046,active
23,0.8997,0.0037,active
24,0.995,0.0023,active
25,0.9246,0.0022,active
26,0.9335,0.0022,active
27,0.9515,0.0022,active
28,1.0052,0.0023,active
29,0.8999,0.0025,active
30,0.9626,0.0024,active
31,0.9113,0.0058,active
32,0.9519,0.0081,active
33,0.984,0.0023,active
34,0.9372,0.004,active
35,0.8594,0.0133,active
36,1.048,0.0078,active
37,0.8725,0.0022,active
38,0.9233,0.0029,active
39,0.9953,0.0023,active
40,0.8773,0.0022,active
41,0.9727,0.0083,active
42,0.9847,0.008,active
43,0.9031,0.0022,active
44,0.9846,0.0025,active
45,0.982,0.0234,active
46,1.007,0.0022,active
47,0.9291,0.0029,active
48,0.8998,0.0047,active
49,0.9009,0.0027,active
50,0.9501,0.0077,active
51,0.8752,0.0022,active
52,0.99,0.0027,active
53,0.9251,0.0078,active
54,1.0286,0.0121,active
55,0.9257,0.0022,active
56,0.9028,0.013,active
57,0.9576,0.0022,active
58,0.851,0.0049,active
59,0.937,0.0113,active
60,0.899,0.003,active
61,0.9401,0.0031,active
62,1.0093,0.0072,active
63,0.9251,0.0081,active
64,0.9671,0.0021,active
65,0.9476,0.0024,active
66,0.8607,0.0082,active
67,0.9289,0.0024,active
68,0.9344,0.0093,active
69,0.9824,0.0021,active
70,0.964,0.0032,active
71,1.071,0.003,active
72,0.9197,0.006,active
73,0.913,0.0021,active
74,0.9467,0.0124,active
75,0.9856,0.0027,active
76,0.9533,0.0079,active
77,0.9059,0.0117,active
78,1.0157,0.0123,active
79,0.9512,0.0077,active
80,0.8864,0.0024,active
81,0.9948,0.0068,active
82,1.0997,0.0125,active
83,0.9634,0.0022,active
84,0.9166,0.0082,active
85,0.9809,0.0022,active
86,0.9512,0.0042,active
87,0.9789,0.0049,active
88,0.8896,0.0023,active
89,0.9413,0.0135,active
90,1.0386,0.0024,active
91,0.9173,0.0024,active
92,0.929,0.0022,active
93,0.863,0.0079,active
94,0.9375,0.0022,active
95,0.9245,0.0075,active
96,0.9854,0.0122,active
97,1.0784,0.0108,active
98,0.9672,0.0121,active
99,0.9255,0.0022,active
100,0.9616,0.0027,active
