[server] en ecoute sur 127.0.0.1:8768 (TLS), attente de 5 clients...
[server] client 1 connecte (n_k=1589 exemples locaux).
[server] client 2 connecte (n_k=1255 exemples locaux).
[server] client 3 connecte (n_k=58 exemples locaux).
[server] client 4 connecte (n_k=265 exemples locaux).
[server] client 5 connecte (n_k=33 exemples locaux).
[server] phase de configuration terminee. n_total=3200, poids={'1': 0.4965625, '2': 0.3921875, '3': 0.018125, '4': 0.0828125, '5': 0.0103125}
[server] round  42/100 | actifs= 4 | acc=0.885 prec=0.720 recall=0.175 F1=0.281 loss=0.3029 | eps=31.098 | duree=0.062s
[server] round  43/100 | actifs= 4 | acc=0.886 prec=0.731 recall=0.184 F1=0.295 loss=0.3025 | eps=31.466 | duree=0.081s
[server] round  44/100 | actifs= 4 | acc=0.885 prec=0.704 recall=0.184 F1=0.292 loss=0.3027 | eps=31.830 | duree=0.035s
[server] round  45/100 | actifs= 4 | acc=0.884 prec=0.679 recall=0.184 F1=0.290 loss=0.3033 | eps=32.189 | duree=0.07s
[server] round  46/100 | actifs= 4 | acc=0.884 prec=0.679 recall=0.184 F1=0.290 loss=0.3038 | eps=32.545 | duree=0.065s
[server] round  47/100 | actifs= 4 | acc=0.885 prec=0.690 recall=0.194 F1=0.303 loss=0.3039 | eps=32.897 | duree=0.054s
[server] round  48/100 | actifs= 4 | acc=0.885 prec=0.690 recall=0.194 F1=0.303 loss=0.3042 | eps=33.245 | duree=0.056s
[server] round  49/100 | actifs= 4 | acc=0.884 prec=0.667 recall=0.194 F1=0.301 loss=0.3042 | eps=33.590 | duree=0.042s
[server] round  50/100 | actifs= 4 | acc=0.884 prec=0.667 recall=0.194 F1=0.301 loss=0.3040 | eps=33.931 | duree=0.058s
[server] round  51/100 | actifs= 4 | acc=0.884 prec=0.667 recall=0.194 F1=0.301 loss=0.3045 | eps=34.268 | duree=0.061s
[server] round  52/100 | actifs= 4 | acc=0.885 prec=0.677 recall=0.204 F1=0.313 loss=0.3047 | eps=34.603 | duree=0.04s
[server] round  53/100 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3052 | eps=34.934 | duree=0.061s
[server] round  54/100 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3054 | eps=35.262 | duree=0.06s
[server] round  55/100 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3054 | eps=35.587 | duree=0.034s
[server] round  56/100 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3063 | eps=35.909 | duree=0.062s
[server] round  57/100 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3071 | eps=36.228 | duree=0.078s
[server] round  58/100 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3082 | eps=36.544 | duree=0.056s
[server] round  59/100 | actifs= 4 | acc=0.886 prec=0.688 recall=0.214 F1=0.326 loss=0.3092 | eps=36.858 | duree=0.083s
[server] round  60/100 | actifs= 4 | acc=0.887 prec=0.697 recall=0.223 F1=0.338 loss=0.3093 | eps=37.169 | duree=0.051s
[server] round  61/100 | actifs= 4 | acc=0.890 prec=0.714 recall=0.243 F1=0.362 loss=0.3098 | eps=37.478 | duree=0.043s
