round,n_active_clients,duration_s,accuracy,precision,recall,f1,loss,epsilon
89,5,0.073,0.8738,1.0,0.0194,0.0381,0.3491,45.2692
90,5,0.066,0.8738,1.0,0.0194,0.0381,0.3487,45.5228
91,5,0.059,0.8738,1.0,0.0194,0.0381,0.3488,45.775
92,5,0.047,0.8738,1.0,0.0194,0.0381,0.3485,46.0258
93,5,0.056,0.8738,1.0,0.0194,0.0381,0.3489,46.2753
94,5,0.06,0.8738,1.0,0.0194,0.0381,0.349,46.5234
95,5,0.035,0.8738,1.0,0.0194,0.0381,0.3489,46.7702
96,5,0.056,0.8738,1.0,0.0194,0.0381,0.3494,47.0158
97,5,0.067,0.8738,1.0,0.0194,0.0381,0.3494,47.26
98,5,0.076,0.8738,1.0,0.0194,0.0381,0.3493,47.503
99,5,0.066,0.8738,1.0,0.0194,0.0381,0.3492,47.7447
100,5,0.063,0.8738,1.0,0.0194,0.0381,0.3488,47.9853
