round,grad_norm,duration_s,status
1,2.8458,0.0699,active
2,2.8734,0.0539,active
3,2.8052,0.0776,active
4,2.7636,0.083,active
5,2.6616,0.0837,active
6,2.3711,0.0777,active
7,1.9994,0.0732,active
8,1.8637,0.0802,active
9,1.686,0.0802,active
10,1.5245,0.0819,active
11,1.5631,0.0802,active
12,1.4347,0.0806,active
13,1.4127,0.098,active
14,1.4265,0.1,active
15,1.3775,0.0797,active
16,1.3681,0.0736,active
17,1.4686,0.099,active
18,1.3381,0.0945,active
19,1.412,0.0975,active
20,1.3791,0.1174,active
21,1.3737,0.0867,active
22,1.4274,0.0933,active
23,1.2617,0.0638,active
24,1.3646,0.0417,active
25,1.323,0.0592,active
26,1.3454,0.0607,active
27,1.3609,0.0722,active
28,1.3733,0.0736,active
29,1.3469,0.1145,active
30,1.2744,0.0745,active
31,1.3586,0.0555,active
32,1.3775,0.0442,active
33,1.3985,0.058,active
34,1.3257,0.0958,active
35,1.3898,0.0765,active
36,1.2618,0.0809,active
37,1.3341,0.0526,active
38,1.299,0.0612,active
39,1.2898,0.0794,active
40,1.3187,0.0674,active
41,1.2555,0.0362,active
42,1.2917,0.0869,active
43,1.3994,0.0458,active
44,1.2495,0.0691,active
45,1.3874,0.0693,active
46,1.3309,0.0703,active
47,1.3437,0.066,active
48,1.3043,0.0693,active
49,1.2741,0.0666,active
50,1.3681,0.054,active
51,1.3516,0.0691,active
52,1.3766,0.0761,active
53,1.223,0.0666,active
54,1.2742,0.0619,active
55,1.3346,0.0393,active
56,1.2782,0.0634,active
57,1.2462,0.0592,active
58,1.2518,0.0389,active
59,1.2014,0.0607,active
60,1.3051,0.0695,active
61,1.3874,0.0687,active
62,1.228,0.0697,active
63,1.3511,0.0637,active
64,1.2099,0.0689,active
65,1.247,0.07,active
66,1.2853,0.0617,active
67,1.3087,0.065,active
68,1.3097,0.0896,active
69,1.2715,0.0856,active
70,1.2585,0.0811,active
71,1.2367,0.0972,active
72,1.2805,0.0825,active
73,1.2832,0.0859,active
74,1.2523,0.0765,active
75,1.2688,0.1098,active
76,1.2142,0.0825,active
77,1.2702,0.0842,active
78,1.3263,0.0604,active
79,1.3116,0.0696,active
80,1.3239,0.0622,active
81,1.3007,0.0722,active
82,1.2812,0.0638,active
83,1.2913,0.0639,active
84,1.2419,0.0626,active
85,1.2419,0.0445,active
86,1.2611,0.0529,active
87,1.2482,0.0629,active
88,1.243,0.0669,active
89,1.3116,0.0702,active
90,1.2308,0.0814,active
91,1.2605,0.0644,active
92,1.3188,0.0729,active
93,1.2298,0.0639,active
94,1.2509,0.0658,active
95,1.2836,0.0637,active
96,1.2463,0.0647,active
97,1.2573,0.0728,active
98,1.2286,0.0619,active
99,1.2495,0.0654,active
100,1.2306,0.0663,active
101,1.3242,0.0664,active
102,1.284,0.0576,active
103,1.169,0.0694,active
104,1.2042,0.0366,active
105,1.2766,0.0649,active
106,1.236,0.0697,active
107,1.2367,0.061,active
108,1.2228,0.0665,active
109,1.2887,0.0691,active
110,1.3462,0.044,active
111,1.1912,0.0617,active
112,1.2534,0.0707,active
113,1.2468,0.0739,active
114,1.2732,0.0614,active
