round,grad_norm,duration_s,status
1,3.0049,0.0657,active
2,3.0282,0.0488,active
3,2.9553,0.0682,active
4,2.8681,0.0823,active
5,2.8374,0.0733,active
6,2.4889,0.0672,active
7,2.1436,0.065,active
8,1.8794,0.074,active
9,1.8449,0.0738,active
10,1.6966,0.0904,active
11,1.5965,0.0681,active
12,1.4779,0.0732,active
13,1.4519,0.0694,active
14,1.492,0.0789,active
15,1.3898,0.0708,active
16,1.3756,0.0584,active
17,1.4798,0.0777,active
18,1.3695,0.0704,active
19,1.3385,0.0769,active
20,1.4018,0.1039,active
21,1.2569,0.0735,active
22,1.3846,0.081,active
23,1.3406,0.0533,active
24,1.3487,0.0353,active
25,1.3559,0.0515,active
26,1.2999,0.0556,active
27,1.3732,0.0631,active
28,1.3693,0.0667,active
29,1.3663,0.0768,active
30,1.3703,0.0632,active
31,1.3237,0.0286,active
32,1.3649,0.038,active
33,1.2771,0.0509,active
34,1.3632,0.0653,active
35,1.3402,0.0656,active
36,1.3122,0.0684,active
37,1.3178,0.0298,active
38,1.262,0.0397,active
39,1.303,0.0722,active
40,1.3424,0.058,active
41,1.3093,0.031,active
42,1.4032,0.0606,active
43,1.3188,0.0365,active
44,1.3376,0.0623,active
45,1.3226,0.0627,active
46,1.3172,0.0626,active
47,1.3912,0.0556,active
48,1.3621,0.0606,active
49,1.3931,0.0541,active
50,1.3168,0.0443,active
51,1.2555,0.0613,active
52,1.3017,0.0651,active
53,1.2876,0.0513,active
54,1.3245,0.0525,active
55,1.2741,0.0347,active
56,1.3701,0.0578,active
57,1.3133,0.0508,active
58,1.322,0.0327,active
59,1.3127,0.0544,active
60,1.3341,0.0638,active
61,1.2986,0.0615,active
62,1.3023,0.0643,active
63,1.2869,0.0579,active
64,1.3779,0.0602,active
65,1.2755,0.0633,active
66,1.2703,0.0552,active
67,1.3168,0.0567,active
68,1.298,0.0656,active
69,1.2399,0.0755,active
70,1.3609,0.072,active
71,1.3104,0.0749,active
72,1.3736,0.0526,active
73,1.3068,0.0736,active
74,1.3044,0.0734,active
75,1.2857,0.0759,active
76,1.3755,0.0571,active
77,1.3578,0.074,active
78,1.3171,0.0483,active
79,1.2935,0.053,active
80,1.3809,0.0552,active
81,1.342,0.0644,active
82,1.2949,0.0574,active
83,1.3566,0.0589,active
84,1.2999,0.0555,active
85,1.3058,0.0318,active
86,1.3247,0.05,active
87,1.3324,0.054,active
88,1.3096,0.0618,active
89,1.3546,0.0632,active
90,1.2692,0.0732,active
91,1.3176,0.0584,active
92,1.2264,0.0663,active
93,1.3649,0.0425,active
94,1.3145,0.06,active
95,1.2945,0.0587,active
96,1.3053,0.0578,active
97,1.2712,0.0661,active
98,1.3364,0.0551,active
99,1.3267,0.0615,active
100,1.2563,0.0604,active
101,1.3119,0.0589,active
102,1.3593,0.0495,active
103,1.3159,0.0621,active
104,1.357,0.032,active
105,1.2775,0.0597,active
106,1.3549,0.0632,active
107,1.3063,0.0539,active
108,1.3464,0.0602,active
109,1.3608,0.0589,active
110,1.2997,0.0388,active
111,1.3638,0.0572,active
112,1.3468,0.0662,active
113,1.3881,0.0632,active
114,1.3221,0.0556,active
115,1.3389,0.0855,active
116,1.3237,0.071,active
117,1.3486,0.0635,active
118,1.2626,0.0502,active
119,1.3791,0.0345,active
120,1.2888,0.0597,active
121,1.3441,0.059,active
122,1.3247,0.0778,active
123,1.3831,0.073,active
124,1.3173,0.0633,active
125,1.3748,0.0555,active
126,1.3126,0.0519,active
127,1.3351,0.0593,active
128,1.4006,0.0661,active
129,1.2882,0.0378,active
130,1.2917,0.0486,active
131,1.311,0.0596,active
132,1.378,0.0585,active
133,1.298,0.0576,active
134,1.261,0.0557,active
135,1.2564,0.0573,active
136,1.3575,0.064,active
137,1.3802,0.0668,active
138,1.2919,0.0666,active
139,1.2501,0.0505,active
140,1.3349,0.0933,active
141,1.3585,0.0719,active
142,1.3588,0.0604,active
143,1.3362,0.0678,active
144,1.3322,0.0493,active
145,1.3911,0.0543,active
146,1.2876,0.084,active
147,1.3128,0.0789,active
148,1.313,0.0756,active
149,1.3271,0.0445,active
150,1.3133,0.0707,active
151,1.3254,0.0595,active
152,1.3803,0.0419,active
153,1.2715,0.0604,active
154,1.3241,0.0589,active
155,1.2537,0.0655,active
156,1.3815,0.065,active
157,1.311,0.0401,active
158,1.3115,0.061,active
159,1.387,0.0524,active
160,1.2849,0.0631,active
161,1.2902,0.064,active
162,1.3001,0.0369,active
163,1.3386,0.0684,active
164,1.3175,0.0626,active
165,1.3255,0.0607,active
166,1.3334,0.0477,active
167,1.3506,0.0526,active
168,1.359,0.0361,active
169,1.3239,0.0476,active
170,1.3308,0.0489,active
171,1.3184,0.0617,active
172,1.3308,0.0594,active
173,1.2372,0.0594,active
174,1.333,0.0571,active
175,1.2797,0.0586,active
176,1.3953,0.0621,active
177,1.3516,0.0599,active
178,1.3553,0.0634,active
179,1.3282,0.0641,active
180,1.2792,0.0603,active
181,1.4216,0.0675,active
182,1.3052,0.0342,active
183,1.3406,0.042,active
184,1.3726,0.0592,active
185,1.3028,0.0401,active
186,1.3107,0.0546,active
187,1.3157,0.0638,active
188,1.3146,0.0508,active
189,1.3639,0.0713,active
190,1.3113,0.0437,active
191,1.2533,0.0415,active
192,1.3131,0.0511,active
193,1.3034,0.0589,active
194,1.3189,0.0676,active
195,1.3651,0.0489,active
196,1.3839,0.0564,active
197,1.3097,0.0603,active
198,1.3507,0.0582,active
199,1.3169,0.0554,active
200,1.3541,0.062,active
201,1.2967,0.0631,active
202,1.3156,0.0742,active
203,1.2779,0.0604,active
204,1.3529,0.0596,active
205,1.3155,0.0598,active
206,1.2875,0.056,active
207,1.3654,0.0576,active
208,1.3315,0.061,active
209,1.2517,0.0603,active
210,1.3624,0.0591,active
211,1.3287,0.0619,active
212,1.2433,0.0594,active
213,1.3205,0.0556,active
214,1.3113,0.0568,active
215,1.3138,0.0479,active
216,1.3499,0.1018,active
217,1.2299,0.0415,active
218,1.2719,0.0387,active
219,1.2986,0.0532,active
220,1.267,0.0877,active
221,1.297,0.0777,active
222,1.3076,0.0754,active
223,1.4109,0.0574,active
224,1.3399,0.0476,active
225,1.2372,0.0574,active
226,1.2994,0.063,active
227,1.2993,0.067,active
228,1.3024,0.0611,active
229,1.3158,0.0553,active
230,1.3046,0.0597,active
